level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_level,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
1,210,11,7,20,8,8,25,8,111,11,884,29,18,20,20,21,25,22,120
35,2504,74,47,22,52,54,27,56,138,45,3180,92,59,22,65,68,28,71,145
44,3112,90,57,22,63,66,28,69,144,54,3787,109,69,22,76,80,29,84,151
45,3180,92,59,22,65,68,28,71,145,55,3854,111,70,23,77,81,29,85,151
46,3247,94,60,22,66,69,28,72,145,56,3922,113,72,23,79,83,29,87,152
47,3315,96,61,22,67,70,28,74,146,57,3989,114,73,23,80,84,29,88,153
48,3382,98,62,22,68,72,28,75,147,58,4057,116,74,23,81,85,29,90,153
49,3450,100,63,22,70,73,28,77,147,59,4124,118,75,23,83,87,29,91,154
50,3517,102,65,22,71,75,28,78,148,60,4192,120,76,23,84,88,29,92,155
53,3719,107,68,22,75,79,29,82,150,63,4395,126,80,23,88,92,29,97,156
55,3854,111,70,23,77,81,29,85,151,65,4530,129,82,23,90,95,29,100,158
56,3922,113,72,23,79,83,29,87,152,66,4597,131,83,23,92,96,29,101,158
57,3989,114,73,23,80,84,29,88,153,67,4665,133,85,23,93,98,29,102,159
58,4057,116,74,23,81,85,29,90,153,68,4732,135,86,23,94,99,30,104,160
59,4124,118,75,23,83,87,29,91,154,69,4800,137,87,23,96,100,30,105,160
60,4192,120,76,23,84,88,29,92,155,70,4867,139,88,23,97,102,30,107,161
61,4259,122,78,23,85,90,29,94,155,71,4935,141,89,23,98,103,30,108,161
63,4395,126,80,23,88,92,29,97,156,73,5070,144,92,23,101,106,30,111,163
