level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_level,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
1,230,11,7,20,12,8,20,8,74,11,1248,29,16,20,39,22,20,19,80
11,1248,29,16,20,39,22,20,19,80,21,2081,48,26,20,62,36,21,31,85
13,1484,36,17,20,31,20,20,21,81,23,2337,56,28,20,47,32,21,34,86
14,1572,38,18,20,32,21,20,22,82,24,2419,58,29,20,48,33,21,35,87
15,1661,40,19,20,34,23,20,24,82,25,2501,60,30,21,50,34,21,37,87
18,1839,42,22,20,55,32,20,27,84,28,2628,61,33,21,77,46,21,41,89
19,1921,44,23,20,57,33,20,29,84,29,2704,63,34,21,79,48,21,42,89
20,2002,46,24,20,60,35,20,30,85,30,2780,65,35,21,81,49,21,43,90
21,2081,48,26,20,62,36,21,31,85,31,2855,67,36,21,83,51,21,45,90
22,2255,54,27,20,45,31,21,33,86,32,3057,74,37,21,60,42,21,46,91
23,2240,52,28,20,66,39,21,34,86,33,3005,70,38,21,87,54,21,47,91
24,2318,53,29,20,68,41,21,35,87,34,3079,72,40,21,89,55,21,49,92
25,2501,60,30,21,50,34,21,37,87,35,3290,80,41,21,64,46,21,50,92
26,2474,57,31,21,73,43,21,38,88,36,3227,76,42,21,93,58,21,52,93
27,2551,59,32,21,75,45,21,39,88,37,3301,78,43,21,95,59,21,53,93
28,2628,61,33,21,77,46,21,41,89,38,3373,80,44,21,97,61,21,54,93
29,2704,63,34,21,79,48,21,42,89,39,3446,81,45,21,99,62,21,56,94
30,2780,65,35,21,81,49,21,43,90,40,3519,83,46,21,101,64,21,57,94
31,2855,67,36,21,83,51,21,45,90,41,3591,85,48,21,103,65,22,59,95
5,693,18,10,20,24,13,20,12,76,15,1592,37,19,20,49,28,20,24,82
50,4231,102,58,22,120,78,22,72,99,60,4921,121,70,22,139,92,23,87,103
51,4487,112,59,22,87,64,22,73,99,61,5206,132,71,22,100,76,23,88,104
52,4560,114,60,22,88,65,22,75,100,62,5277,134,73,22,101,77,23,90,104
53,4440,108,62,22,126,82,22,76,100,63,5125,126,74,22,145,97,23,91,105
55,4578,111,64,22,130,85,22,79,101,65,5260,130,76,23,148,100,23,95,105
56,4648,113,65,22,132,87,22,81,102,66,5327,132,77,23,150,101,23,96,106
57,4716,115,66,22,133,88,22,82,102,67,5394,134,79,23,152,102,23,98,106
58,4784,117,68,22,135,90,22,84,102,68,5461,136,80,23,154,104,23,99,107
