level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_level,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
1,240,12,7,20,8,7,20,8,74,11,1302,32,16,20,27,18,20,19,80
13,1484,36,17,20,31,20,20,21,81,23,2337,56,28,20,47,32,21,34,86
14,1572,38,18,20,32,21,20,22,82,24,2419,58,29,20,48,33,21,35,87
15,1661,40,19,20,34,23,20,24,82,25,2501,60,30,21,50,34,21,37,87
18,1919,46,22,20,39,26,20,27,84,28,2742,66,33,21,54,38,21,41,89
19,2005,48,23,20,40,27,20,29,84,29,2821,68,34,21,56,39,21,42,89
20,2089,50,24,20,42,28,20,30,85,30,2901,70,35,21,57,40,21,43,90
21,2172,52,26,20,44,30,21,31,85,31,2979,72,36,21,59,41,21,45,90
22,2255,54,27,20,45,31,21,33,86,32,3057,74,37,21,60,42,21,46,91
23,2337,56,28,20,47,32,21,34,86,33,3136,76,38,21,62,43,21,47,91
24,2419,58,29,20,48,33,21,35,87,34,3213,78,40,21,63,45,21,49,92
25,2501,60,30,21,50,34,21,37,87,35,3290,80,41,21,64,46,21,50,92
5,723,20,10,20,17,11,20,12,76,15,1661,40,19,20,34,23,20,24,82
50,4415,110,58,22,85,63,22,72,99,60,5135,130,70,22,99,75,23,87,103
51,4487,112,59,22,87,64,22,73,99,61,5206,132,71,22,100,76,23,88,104
52,4560,114,60,22,88,65,22,75,100,62,5277,134,73,22,101,77,23,90,104
53,4633,116,62,22,89,66,22,76,100,63,5348,136,74,22,103,78,23,91,105
54,4705,118,63,22,91,68,22,78,101,64,5418,138,75,23,104,79,23,93,105
55,4777,120,64,22,92,69,22,79,101,65,5488,140,76,23,105,80,23,95,105
