level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_level,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
1,230,11,7,20,12,8,20,8,74,11,1248,29,16,20,39,22,20,19,80
11,1248,29,16,20,39,22,20,19,80,21,2081,48,26,20,62,36,21,31,85
18,1839,42,22,20,55,32,20,27,84,28,2628,61,33,21,77,46,21,41,89
19,1921,44,23,20,57,33,20,29,84,29,2704,63,34,21,79,48,21,42,89
20,2002,46,24,20,60,35,20,30,85,30,2780,65,35,21,81,49,21,43,90
21,2081,48,26,20,62,36,21,31,85,31,2855,67,36,21,83,51,21,45,90
23,2240,52,28,20,66,39,21,34,86,33,3005,70,38,21,87,54,21,47,91
24,2318,53,29,20,68,41,21,35,87,34,3079,72,40,21,89,55,21,49,92
25,2396,55,30,21,70,42,21,37,87,35,3153,74,41,21,91,56,21,50,92
26,2474,57,31,21,73,43,21,38,88,36,3227,76,42,21,93,58,21,52,93
27,2551,59,32,21,75,45,21,39,88,37,3301,78,43,21,95,59,21,53,93
28,2628,61,33,21,77,46,21,41,89,38,3373,80,44,21,97,61,21,54,93
31,2855,67,36,21,83,51,21,45,90,41,3591,85,48,21,103,65,22,59,95
32,2930,68,37,21,85,52,21,46,91,42,3663,87,49,21,105,66,22,60,95
33,3005,70,38,21,87,54,21,47,91,43,3735,89,50,21,107,68,22,62,96
34,3079,72,40,21,89,55,21,49,92,44,3806,91,51,21,109,69,22,63,96
5,693,18,10,20,24,13,20,12,76,15,1592,37,19,20,49,28,20,24,82
50,4231,102,58,22,120,78,22,72,99,60,4921,121,70,22,139,92,23,87,103
51,4300,104,59,22,122,79,22,73,99,61,4989,123,71,22,141,94,23,88,104
52,4370,106,60,22,124,81,22,75,100,62,5057,124,73,22,143,95,23,90,104
53,4440,108,62,22,126,82,22,76,100,63,5125,126,74,22,145,97,23,91,105
55,4578,111,64,22,130,85,22,79,101,65,5260,130,76,23,148,100,23,95,105
56,4648,113,65,22,132,87,22,81,102,66,5327,132,77,23,150,101,23,96,106
57,4716,115,66,22,133,88,22,82,102,67,5394,134,79,23,152,102,23,98,106
58,4784,117,68,22,135,90,22,84,102,68,5461,136,80,23,154,104,23,99,107
59,4853,119,69,22,137,91,22,85,103,69,5528,137,81,23,156,105,23,101,107
60,4921,121,70,22,139,92,23,87,103,70,5594,139,82,23,157,107,23,102,108
61,4989,123,71,22,141,94,23,88,104,71,5661,141,84,23,159,108,23,104,108
