level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_level,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
12,1162,34,16,20,29,23,20,20,100,22,1879,54,27,20,45,38,21,33,107
14,1310,38,18,20,32,26,20,22,102,24,2016,58,29,20,48,41,21,35,108
15,1384,40,19,20,34,28,20,24,102,25,2084,60,30,21,50,42,21,37,109
16,1456,42,20,20,36,29,20,25,103,26,2151,62,31,21,51,43,21,38,109
18,1599,46,22,20,39,32,20,27,104,28,2285,66,33,21,54,46,21,41,110
19,1671,48,23,20,40,33,20,29,105,29,2351,68,34,21,56,48,21,42,111
2,329,14,8,20,10,9,20,9,93,12,1162,34,16,20,29,23,20,20,100
20,1740,50,24,20,42,35,20,30,105,30,2417,70,35,21,57,49,21,43,112
21,1810,52,26,20,44,36,21,31,106,31,2483,72,36,21,59,51,21,45,112
23,1948,56,28,20,47,39,21,34,107,33,2613,76,38,21,62,54,21,47,113
24,2016,58,29,20,48,41,21,35,108,34,2677,78,40,21,63,55,21,49,114
25,2084,60,30,21,50,42,21,37,109,35,2742,80,41,21,64,56,21,50,114
26,2151,62,31,21,51,43,21,38,109,36,2806,82,42,21,66,58,21,52,115
27,2218,64,32,21,53,45,21,39,110,37,2870,84,43,21,67,59,21,53,116
28,2285,66,33,21,54,46,21,41,110,38,2933,86,44,21,69,61,21,54,116
29,2351,68,34,21,56,48,21,42,111,39,2997,88,45,21,70,62,21,56,117
3,424,16,9,20,13,10,20,10,94,13,1236,36,17,20,31,25,20,21,101
30,2417,70,35,21,57,49,21,43,112,40,3060,90,46,21,72,64,21,57,117
31,2483,72,36,21,59,51,21,45,112,41,3123,92,48,21,73,65,22,59,118
32,2548,74,37,21,60,52,21,46,113,42,3185,94,49,21,74,66,22,60,119
33,2613,76,38,21,62,54,21,47,113,43,3247,96,50,21,76,68,22,62,119
34,2677,78,40,21,63,55,21,49,114,44,3310,98,51,21,77,69,22,63,120
38,2933,86,44,21,69,61,21,54,116,48,3557,106,56,22,83,75,22,69,122
39,2997,88,45,21,70,62,21,56,117,49,3618,108,57,22,84,77,22,70,122
40,3060,90,46,21,72,64,21,57,117,50,3679,110,58,22,85,78,22,72,123
41,3123,92,48,21,73,65,22,59,118,51,3739,112,59,22,87,79,22,73,124
42,3185,94,49,21,74,66,22,60,119,52,3800,114,60,22,88,81,22,75,124
43,3247,96,50,21,76,68,22,62,119,53,3860,116,62,22,89,82,22,76,125
44,3310,98,51,21,77,69,22,63,120,54,3921,118,63,22,91,84,22,78,125
45,3372,100,52,22,78,71,22,65,120,55,3981,120,64,22,92,85,22,79,126
46,3433,102,53,22,80,72,22,66,121,56,4041,122,65,22,93,87,22,81,126
47,3495,104,55,22,81,74,22,67,121,57,4100,124,66,22,95,88,22,82,127
48,3557,106,56,22,83,75,22,69,122,58,4160,126,68,22,96,90,22,84,127
49,3618,108,57,22,84,77,22,70,122,59,4220,128,69,22,97,91,22,85,128
5,603,20,10,20,17,13,20,12,95,15,1384,40,19,20,34,28,20,24,102
50,3679,110,58,22,85,78,22,72,123,60,4279,130,70,22,99,92,23,87,128
56,4041,122,65,22,93,87,22,81,126,66,4632,142,77,23,107,101,23,96,132
57,4100,124,66,22,95,88,22,82,127,67,4691,144,79,23,108,102,23,98,132
58,4160,126,68,22,96,90,22,84,127,68,4749,146,80,23,109,104,23,99,133
59,4220,128,69,22,97,91,22,85,128,69,4807,148,81,23,111,105,23,101,133
60,4279,130,70,22,99,92,23,87,128,70,4865,150,82,23,112,107,23,102,134
61,4339,132,71,22,100,94,23,88,129,71,4923,152,84,23,113,108,23,104,134
62,4397,134,73,22,101,95,23,90,129,72,4981,154,85,23,115,110,23,105,135
63,4456,136,74,22,103,97,23,91,130,73,5038,156,86,23,116,111,23,107,135
64,4515,138,75,23,104,98,23,93,131,74,5095,158,87,23,117,113,23,109,136
65,4574,140,76,23,105,100,23,95,131,75,5153,160,89,23,118,114,23,110,136
7,770,24,12,20,20,16,20,14,97,17,1528,44,21,20,37,31,20,26,104
8,851,26,13,20,22,18,20,15,97,18,1599,46,22,20,39,32,20,27,104
