level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_level,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
1,214,11,8,20,9,8,20,8,92,11,901,29,18,20,29,18,20,22,97
10,832,27,17,20,27,17,20,20,97,20,1521,46,28,20,44,28,20,35,103
2,282,12,9,20,11,9,20,9,92,12,970,31,19,20,31,19,20,23,98
3,351,14,10,20,14,10,20,10,93,13,1039,33,20,20,32,20,20,25,98
4,420,16,11,20,16,11,20,12,93,14,1108,35,21,20,34,21,20,26,99
5,489,18,12,20,18,12,20,13,94,15,1177,37,22,20,36,22,20,28,100
50,3584,102,65,22,89,65,22,78,120,60,4272,121,79,23,102,79,23,92,126
51,3653,104,67,22,90,67,22,79,121,61,4340,123,80,23,104,80,23,94,126
52,3722,106,68,22,91,68,22,81,121,62,4409,124,82,23,105,82,23,95,127
53,3790,108,69,22,93,69,22,82,122,63,4479,126,83,23,106,83,23,97,128
54,3859,109,71,22,94,71,22,84,122,64,4547,128,84,23,108,84,23,98,128
55,3928,116,72,22,96,72,22,85,123,65,4616,135,86,23,109,86,23,100,129
56,3997,118,74,22,97,74,22,87,123,66,4685,137,87,23,111,87,23,101,129
6,557,20,13,20,20,13,20,15,94,16,1246,39,23,20,37,23,20,29,100
7,626,22,14,20,22,14,20,16,95,17,1314,40,24,20,39,24,20,31,101
8,695,24,15,20,23,15,20,18,96,18,1383,42,25,20,41,25,20,32,101
9,764,25,16,20,25,16,20,19,96,19,1452,44,27,20,42,27,20,33,102
