level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_level,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
1,206,11,7,20,11,7,20,8,83,11,1118,29,18,20,29,19,20,19,90
10,1039,27,17,20,27,18,20,18,89,20,1793,46,28,21,46,30,20,30,95
11,1118,29,18,20,29,19,20,19,90,21,1864,48,30,21,48,31,20,31,96
12,1196,31,19,20,31,20,20,20,90,22,1935,50,31,21,50,32,20,33,96
13,1274,33,20,20,33,21,20,21,91,23,2006,52,32,21,52,33,20,34,97
14,1350,35,21,20,35,22,20,22,92,24,2076,53,33,21,53,35,20,35,97
15,1425,37,23,20,37,24,20,24,92,25,2146,55,34,21,55,36,21,37,98
16,1500,39,24,20,39,25,20,25,93,26,2216,57,35,21,57,37,21,38,99
17,1574,40,25,21,40,26,20,26,93,27,2285,59,36,21,59,38,21,39,99
18,1647,42,26,21,42,27,20,27,94,28,2353,61,38,21,61,40,21,41,100
19,1721,44,27,21,44,29,20,29,95,29,2421,63,39,21,63,41,21,42,100
2,339,12,8,20,12,8,20,9,84,12,1196,31,19,20,31,20,20,20,90
20,1793,46,28,21,46,30,20,30,95,30,2490,65,40,21,65,42,21,43,101
21,1864,48,30,21,48,31,20,31,96,31,2557,67,41,21,67,43,21,45,101
22,1935,50,31,21,50,32,20,33,96,32,2624,68,42,21,68,44,21,46,102
23,2006,52,32,21,52,33,20,34,97,33,2691,70,43,21,70,46,21,47,102
24,2076,53,33,21,53,35,20,35,97,34,2758,72,45,21,72,47,21,49,103
25,2146,55,34,21,55,36,21,37,98,35,2824,74,46,22,74,48,21,50,103
26,2216,57,35,21,57,37,21,38,99,36,2890,76,47,22,76,49,21,52,104
27,2285,59,36,21,59,38,21,39,99,37,2956,78,48,22,78,51,21,53,105
28,2353,61,38,21,61,40,21,41,100,38,3021,80,49,22,80,52,21,54,105
29,2421,63,39,21,63,41,21,42,100,39,3087,81,50,22,81,53,21,56,106
3,437,14,9,20,14,9,20,10,84,13,1274,33,20,20,33,21,20,21,91
30,2490,65,40,21,65,42,21,43,101,40,3152,83,51,22,83,54,21,57,106
31,2557,67,41,21,67,43,21,45,101,41,3216,85,53,22,85,55,21,59,107
32,2624,68,42,21,68,44,21,46,102,42,3281,87,54,22,87,57,21,60,107
33,2691,70,43,21,70,46,21,47,102,43,3345,89,55,22,89,58,21,62,108
34,2758,72,45,21,72,47,21,49,103,44,3409,91,56,22,91,59,21,63,108
35,2824,74,46,22,74,48,21,50,103,45,3473,93,57,22,93,60,22,65,109
36,2890,76,47,22,76,49,21,52,104,46,3536,95,58,22,95,62,22,66,109
37,2956,78,48,22,78,51,21,53,105,47,3600,96,60,22,96,63,22,67,110
38,3021,80,49,22,80,52,21,54,105,48,3663,98,61,22,98,64,22,69,110
39,3087,81,50,22,81,53,21,56,106,49,3726,100,62,22,100,65,22,70,111
4,531,16,10,20,16,10,20,11,85,14,1350,35,21,20,35,22,20,22,92
40,3152,83,51,22,83,54,21,57,106,50,3789,102,63,22,102,67,22,72,111
41,3216,85,53,22,85,55,21,59,107,51,3852,104,64,22,104,68,22,73,112
42,3281,87,54,22,87,57,21,60,107,52,3914,106,65,22,106,69,22,75,112
43,3345,89,55,22,89,58,21,62,108,53,3976,108,66,22,108,70,22,76,113
44,3409,91,56,22,91,59,21,63,108,54,4039,109,68,22,109,71,22,78,113
45,3473,93,57,22,93,60,22,65,109,55,4100,111,69,23,111,73,22,79,114
46,3536,95,58,22,95,62,22,66,109,56,4162,113,70,23,113,74,22,81,114
47,3600,96,60,22,96,63,22,67,110,57,4223,115,71,23,115,75,22,82,115
48,3663,98,61,22,98,64,22,69,110,58,4285,117,72,23,117,76,22,84,115
49,3726,100,62,22,100,65,22,70,111,59,4346,119,73,23,119,78,22,85,116
5,621,18,11,20,18,11,20,12,86,15,1425,37,23,20,37,24,20,24,92
50,3789,102,63,22,102,67,22,72,111,60,4408,121,75,23,121,79,22,87,116
51,3852,104,64,22,104,68,22,73,112,61,4469,123,76,23,123,80,22,88,117
52,3914,106,65,22,106,69,22,75,112,62,4529,124,77,23,124,81,22,90,117
6,708,20,12,20,20,13,20,13,87,16,1500,39,24,20,39,25,20,25,93
7,793,22,13,20,22,14,20,14,87,17,1574,40,25,21,40,26,20,26,93
8,876,24,15,20,24,15,20,15,88,18,1647,42,26,21,42,27,20,27,94
9,958,25,16,20,25,16,20,16,89,19,1721,44,27,21,44,29,20,29,95
