level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_level,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
36,2778,71,49,21,59,42,21,52,115,46,3399,88,63,22,71,53,22,66,121
37,2841,72,51,21,60,43,21,53,116,47,3460,90,64,22,72,54,22,67,121
38,2904,74,52,21,61,44,21,54,116,48,3521,92,66,22,74,55,22,69,122
39,2967,76,53,21,63,45,21,56,117,49,3582,93,67,22,75,56,22,70,122
40,3029,78,55,21,64,46,21,57,117,50,3642,95,69,22,76,57,22,72,123
41,3091,79,56,21,65,48,22,59,118,51,3702,97,70,22,77,58,22,73,124
42,3153,81,58,21,66,49,22,60,119,52,3762,98,71,22,78,59,22,75,124
43,3215,83,59,21,67,50,22,62,119,53,3822,100,73,22,80,60,22,76,125
44,3277,85,60,21,69,51,22,63,120,54,3882,102,74,22,81,61,22,78,125
45,3338,86,62,22,70,52,22,65,120,55,3941,104,76,22,82,62,22,79,126
46,3399,88,63,22,71,53,22,66,121,56,4001,105,77,22,83,63,22,81,126
47,3460,90,64,22,72,54,22,67,121,57,4059,107,79,22,84,64,22,82,127
48,3521,92,66,22,74,55,22,69,122,58,4119,109,80,22,85,65,22,84,127
49,3582,93,67,22,75,56,22,70,122,59,4177,111,81,22,87,66,22,85,128
50,3642,95,69,22,76,57,22,72,123,60,4237,112,83,22,88,68,23,87,128
51,3702,97,70,22,77,58,22,73,124,61,4295,114,84,22,89,69,23,88,129
52,3762,98,71,22,78,59,22,75,124,62,4353,116,86,22,90,70,23,90,129
