level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_level,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
1,186,11,8,20,7,8,22,8,104,11,1009,37,18,20,23,18,22,18,110
10,938,35,17,20,22,17,22,17,109,20,1619,56,28,20,35,28,23,28,116
11,1009,37,18,20,23,18,22,18,110,21,1683,59,29,21,36,29,23,29,116
12,1080,39,19,20,24,19,22,19,111,22,1748,61,30,21,38,30,23,30,117
13,1150,41,20,20,26,20,22,20,111,23,1811,63,31,21,39,31,23,31,118
14,1218,44,21,20,27,21,22,21,112,24,1875,65,32,21,40,32,23,32,118
15,1287,46,22,20,28,22,22,22,113,25,1938,67,34,21,41,34,23,34,119
16,1354,48,23,20,30,23,22,23,113,26,2001,69,35,21,43,35,23,35,120
17,1421,50,24,20,31,24,22,24,114,27,2063,71,36,21,44,36,23,36,120
18,1487,52,25,20,32,25,23,25,114,28,2125,73,37,21,45,37,23,37,121
19,1554,54,27,20,34,27,23,27,115,29,2186,75,38,21,46,38,23,38,121
2,306,14,9,20,9,9,22,9,104,12,1080,39,19,20,24,19,22,19,111
20,1619,56,28,20,35,28,23,28,116,30,2248,77,40,21,48,40,23,40,122
21,1683,59,29,21,36,29,23,29,116,31,2309,79,41,21,49,41,23,41,123
3,395,17,10,20,11,10,22,10,105,13,1150,41,20,20,26,20,22,20,111
4,479,20,11,20,12,11,22,11,105,14,1218,44,21,20,27,21,22,21,112
5,560,23,12,20,14,12,22,12,106,15,1287,46,22,20,28,22,22,22,113
50,3421,114,65,22,71,65,25,65,135,60,3980,132,79,23,82,79,25,79,141
51,3478,116,67,22,72,67,25,67,136,61,4035,134,80,23,83,80,25,80,142
53,3590,120,69,22,74,69,25,69,137,63,4144,138,83,23,86,83,25,83,143
6,639,25,13,20,16,13,22,13,107,16,1354,48,23,20,30,23,22,23,113
7,716,28,14,20,17,14,22,14,107,17,1421,50,24,20,31,24,22,24,114
8,791,30,15,20,19,15,22,15,108,18,1487,52,25,20,32,25,23,25,114
9,865,32,16,20,20,16,22,16,109,19,1554,54,27,20,34,27,23,27,115
