level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_level,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
1,200,11,8,20,9,7,20,8,111,11,842,30,19,20,30,16,20,22,117
13,971,34,21,20,34,17,20,25,119,23,1614,53,34,21,52,28,21,39,126
14,1036,36,22,20,36,18,20,26,120,24,1678,55,35,21,53,29,21,41,126
16,1164,40,25,20,39,20,20,29,121,26,1807,59,38,21,57,31,21,43,128
17,1228,42,26,20,41,21,20,31,122,27,1871,61,39,21,58,32,21,45,129
18,1293,44,27,20,43,22,20,32,122,28,1935,63,41,21,60,33,21,46,129
20,1421,48,30,20,46,24,20,35,124,30,2064,67,43,21,63,35,21,49,131
21,1485,49,31,21,48,26,21,36,124,31,2128,69,45,21,65,36,21,51,131
22,1550,51,33,21,50,27,21,38,125,32,2192,71,46,21,66,37,21,52,132
23,1614,53,34,21,52,28,21,39,126,33,2256,73,47,21,68,38,21,54,133
24,1678,55,35,21,53,29,21,41,126,34,2321,75,49,21,69,40,21,55,133
25,1742,57,37,21,55,30,21,42,127,35,2385,77,50,21,71,41,21,56,134
26,1807,59,38,21,57,31,21,43,128,36,2449,79,52,21,73,42,21,58,135
27,1871,61,39,21,58,32,21,45,129,37,2513,81,53,21,74,43,21,59,135
28,1935,63,41,21,60,33,21,46,129,38,2578,83,54,21,76,44,21,61,136
29,1999,65,42,21,61,34,21,48,130,39,2643,85,56,21,77,45,21,62,137
30,2064,67,43,21,63,35,21,49,131,40,2707,87,57,21,79,46,21,64,138
31,2128,69,45,21,65,36,21,51,131,41,2771,88,59,22,80,48,22,65,138
32,2192,71,46,21,66,37,21,52,132,42,2835,90,60,22,82,49,22,66,139
33,2256,73,47,21,68,38,21,54,133,43,2900,92,62,22,83,50,22,68,140
5,457,18,12,20,18,10,20,13,113,15,1100,38,24,20,38,19,20,28,120
50,3350,106,72,22,94,58,22,78,145,60,3992,125,87,23,109,70,23,92,151
51,3414,108,73,22,96,59,22,79,145,61,4056,127,88,23,110,71,23,94,152
53,3542,112,76,22,99,62,22,82,147,63,4186,131,91,23,113,74,23,97,154
54,3607,114,78,22,100,63,22,84,147,64,4250,133,93,23,115,75,23,98,154
55,3671,116,79,22,102,64,22,85,148,65,4314,135,95,23,116,76,23,100,155
56,3735,118,81,22,103,65,22,87,149,66,4378,137,96,23,118,77,23,101,156
57,3799,120,82,22,104,66,22,88,149,67,4443,139,98,23,119,79,23,102,156
58,3864,122,84,22,106,68,22,90,150,68,4507,141,99,23,120,80,23,104,157
59,3928,124,85,22,107,69,22,91,151,69,4571,143,101,23,122,81,23,105,158
8,649,24,15,20,25,13,20,18,115,18,1293,44,27,20,43,22,20,32,122
9,714,26,16,20,26,14,20,19,116,19,1357,46,29,20,45,23,20,33,123
