level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_level,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
1,192,10,11,20,8,9,20,10,92,11,1042,28,25,20,25,24,20,23,100
10,968,26,23,20,24,23,20,22,99,20,1671,44,39,20,38,39,20,36,105
11,1042,28,25,20,25,24,20,23,100,21,1737,46,40,20,39,40,21,38,106
12,1115,29,26,20,27,26,20,24,100,22,1804,47,42,20,41,42,21,39,107
13,1187,31,28,20,28,27,20,26,101,23,1870,49,44,20,42,43,21,41,107
14,1258,33,29,20,30,29,20,27,102,24,1935,51,45,20,44,45,21,43,108
15,1329,35,31,20,31,31,20,29,102,25,2000,53,47,21,45,46,21,44,109
17,1467,38,34,20,34,34,20,32,104,27,2129,56,50,21,48,50,21,47,110
18,1535,40,35,20,35,35,20,33,104,28,2193,58,52,21,49,51,21,49,110
19,1604,42,37,20,37,37,20,35,105,29,2257,60,54,21,50,53,21,51,111
2,315,11,13,20,10,10,20,11,93,12,1115,29,26,20,27,26,20,24,100
20,1671,44,39,20,38,39,20,36,105,30,2320,62,55,21,52,54,21,52,112
21,1737,46,40,20,39,40,21,38,106,31,2383,64,57,21,53,56,21,54,112
22,1804,47,42,20,41,42,21,39,107,32,2446,65,59,21,54,58,21,56,113
3,407,13,14,20,12,12,20,13,94,13,1187,31,28,20,28,27,20,26,101
4,495,15,15,20,14,13,20,14,94,14,1258,33,29,20,30,29,20,27,102
5,579,17,16,20,16,15,20,15,95,15,1329,35,31,20,31,31,20,29,102
6,660,19,18,20,17,16,20,16,96,16,1398,37,32,20,32,32,20,30,103
7,739,20,19,20,19,18,20,18,97,17,1467,38,34,20,34,34,20,32,104
8,817,22,20,20,20,20,20,19,97,18,1535,40,35,20,35,35,20,33,104
9,893,24,22,20,22,21,20,20,98,19,1604,42,37,20,37,37,20,35,105
