level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_level,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
1,122,6,6,20,9,6,20,6,56,11,629,17,14,20,30,14,20,17,59
2,172,7,7,20,12,7,20,7,56,12,680,18,15,20,32,15,20,18,60
3,223,8,8,20,14,8,20,8,56,13,731,19,16,20,34,16,20,19,60
4,274,9,8,20,16,8,20,9,57,14,782,20,17,20,36,17,20,20,61
5,325,10,9,20,18,9,20,10,57,15,833,22,18,20,38,18,20,22,61
50,2610,62,57,22,95,57,22,62,75,60,3118,73,69,23,110,69,23,73,79
6,375,11,10,20,21,10,20,11,57,16,884,23,19,20,40,19,20,23,61
7,426,12,11,20,23,11,20,12,58,17,934,24,20,20,41,20,20,24,62
8,477,13,12,20,25,12,20,13,58,18,985,25,21,20,43,21,20,25,62
9,528,15,13,20,27,13,20,15,59,19,1036,26,22,20,45,22,20,26,63
