level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_level,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
1,198,12,8,20,8,9,20,8,111,11,1074,31,19,20,25,23,20,19,120
10,998,29,18,20,24,22,20,18,119,20,1723,49,30,20,38,36,20,30,127
11,1074,31,19,20,25,23,20,19,120,21,1792,51,31,20,39,38,21,31,128
12,1150,33,20,20,27,25,20,20,121,22,1860,53,33,20,41,39,21,33,129
13,1224,35,21,20,28,26,20,21,122,23,1928,55,34,20,42,41,21,34,129
14,1297,37,22,20,30,27,20,22,122,24,1996,57,35,20,44,42,21,35,130
15,1370,39,24,20,31,29,20,24,123,25,2063,59,37,21,45,44,21,37,131
16,1442,41,25,20,32,30,20,25,124,26,2130,61,38,21,46,45,21,38,132
17,1513,43,26,20,34,32,20,26,125,27,2196,63,39,21,48,46,21,39,132
18,1583,45,27,20,35,33,20,27,126,28,2262,65,41,21,49,48,21,41,133
19,1654,47,29,20,37,35,20,29,126,29,2327,67,42,21,50,49,21,42,134
2,325,13,9,20,10,10,20,9,112,12,1150,33,20,20,27,25,20,20,121
20,1723,49,30,20,38,36,20,30,127,30,2393,69,43,21,52,51,21,43,134
21,1792,51,31,20,39,38,21,31,128,31,2458,71,45,21,53,52,21,45,135
22,1860,53,33,20,41,39,21,33,129,32,2522,73,46,21,54,54,21,46,136
23,1928,55,34,20,42,41,21,34,129,33,2587,75,47,21,55,55,21,47,137
24,1996,57,35,20,44,42,21,35,130,34,2651,77,49,21,57,57,21,49,137
25,2063,59,37,21,45,44,21,37,131,35,2714,79,50,21,58,58,21,50,138
26,2130,61,38,21,46,45,21,38,132,36,2778,81,52,21,59,60,21,52,139
27,2196,63,39,21,48,46,21,39,132,37,2841,83,53,21,60,61,21,53,139
28,2262,65,41,21,49,48,21,41,133,38,2904,85,54,21,62,62,21,54,140
29,2327,67,42,21,50,49,21,42,134,39,2967,87,56,21,63,64,21,56,141
3,420,15,10,20,12,11,20,10,113,13,1224,35,21,20,28,26,20,21,122
30,2393,69,43,21,52,51,21,43,134,40,3029,89,57,21,64,65,21,57,141
31,2458,71,45,21,53,52,21,45,135,41,3091,91,59,21,66,67,22,59,142
32,2522,73,46,21,54,54,21,46,136,42,3153,93,60,21,67,68,22,60,143
33,2587,75,47,21,55,55,21,47,137,43,3215,95,62,21,68,70,22,62,143
34,2651,77,49,21,57,57,21,49,137,44,3277,97,63,21,69,71,22,63,144
35,2714,79,50,21,58,58,21,50,138,45,3338,99,65,22,70,73,22,65,145
36,2778,81,52,21,59,60,21,52,139,46,3399,101,66,22,72,74,22,66,145
37,2841,83,53,21,60,61,21,53,139,47,3460,103,67,22,73,76,22,67,146
38,2904,85,54,21,62,62,21,54,140,48,3521,105,69,22,74,77,22,69,147
39,2967,87,56,21,63,64,21,56,141,49,3582,107,70,22,75,79,22,70,147
4,510,17,11,20,14,13,20,11,114,14,1297,37,22,20,30,27,20,22,122
40,3029,89,57,21,64,65,21,57,141,50,3642,109,72,22,77,80,22,72,148
41,3091,91,59,21,66,67,22,59,142,51,3702,110,73,22,78,81,22,73,149
42,3153,93,60,21,67,68,22,60,143,52,3762,112,75,22,79,83,22,75,149
43,3215,95,62,21,68,70,22,62,143,53,3822,114,76,22,80,84,22,76,150
44,3277,97,63,21,69,71,22,63,144,54,3882,116,78,22,81,86,22,78,151
45,3338,99,65,22,70,73,22,65,145,55,3941,118,79,22,83,87,22,79,151
46,3399,101,66,22,72,74,22,66,145,56,4001,120,81,22,84,89,22,81,152
47,3460,103,67,22,73,76,22,67,146,57,4059,122,82,22,85,90,22,82,153
48,3521,105,69,22,74,77,22,69,147,58,4119,124,84,22,86,92,22,84,153
49,3582,107,70,22,75,79,22,70,147,59,4177,126,85,22,87,93,22,85,154
5,597,19,12,20,16,14,20,12,115,15,1370,39,24,20,31,29,20,24,123
50,3642,109,72,22,77,80,22,72,148,60,4237,128,87,22,88,95,23,87,155
57,4059,122,82,22,85,90,22,82,153,67,4644,142,98,23,97,105,23,98,159
58,4119,124,84,22,86,92,22,84,153,68,4701,144,99,23,98,106,23,99,160
6,680,21,13,20,17,16,20,13,116,16,1442,41,25,20,32,30,20,25,124
7,763,23,14,20,19,17,20,14,117,17,1513,43,26,20,34,32,20,26,125
8,842,25,15,20,20,19,20,15,118,18,1583,45,27,20,35,33,20,27,126
9,921,27,16,20,22,20,20,16,118,19,1654,47,29,20,37,35,20,29,126
