level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_level,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
1,180,8,10,20,7,10,20,8,92,11,758,22,34,20,16,26,20,22,96
11,758,22,34,20,16,26,20,22,96,21,1337,36,55,21,26,43,21,36,101
16,1048,29,45,20,20,34,20,29,99,26,1626,43,64,21,31,51,21,43,104
19,1221,33,51,20,23,39,21,33,100,29,1799,47,70,21,34,56,21,48,105
2,237,9,13,20,8,11,20,9,92,12,816,23,37,20,16,28,20,23,97
20,1279,34,53,20,24,41,21,35,101,30,1857,49,72,21,35,57,21,49,106
21,1337,36,55,21,26,43,21,36,101,31,1915,50,74,21,36,59,21,51,107
22,1395,37,57,21,27,44,21,38,102,32,1973,51,75,21,37,61,21,52,107
23,1452,39,59,21,28,46,21,39,102,33,2031,53,77,21,38,62,21,54,108
24,1510,40,61,21,29,48,21,41,103,34,2089,54,79,21,40,64,21,55,108
25,1568,42,62,21,30,49,21,42,103,35,2146,56,81,21,41,66,22,56,109
26,1626,43,64,21,31,51,21,43,104,36,2204,57,83,21,42,67,22,58,109
27,1684,44,66,21,32,52,21,45,104,37,2262,59,85,21,43,69,22,59,110
28,1742,46,68,21,33,54,21,46,105,38,2320,60,86,21,44,71,22,61,110
29,1799,47,70,21,34,56,21,48,105,39,2378,61,88,21,45,72,22,62,111
3,295,10,16,20,9,13,20,10,93,13,874,25,39,20,17,29,20,25,97
30,1857,49,72,21,35,57,21,49,106,40,2436,63,90,21,46,74,22,64,112
31,1915,50,74,21,36,59,21,51,107,41,2494,64,92,22,48,76,22,65,112
32,1973,51,75,21,37,61,21,52,107,42,2552,66,93,22,49,77,22,66,113
33,2031,53,77,21,38,62,21,54,108,43,2610,67,95,22,50,79,22,68,113
34,2089,54,79,21,40,64,21,55,108,44,2667,68,97,22,51,81,22,69,114
35,2146,56,81,21,41,66,22,56,109,45,2725,70,99,22,52,82,22,71,115
36,2204,57,83,21,42,67,22,58,109,46,2783,71,100,22,53,84,22,72,115
37,2262,59,85,21,43,69,22,59,110,47,2841,73,102,22,55,86,22,74,116
38,2320,60,86,21,44,71,22,61,110,48,2899,74,104,22,56,87,22,75,116
39,2378,61,88,21,45,72,22,62,111,49,2957,76,106,22,57,89,22,77,117
4,353,12,18,20,9,14,20,12,93,14,932,26,41,20,18,31,20,26,98
40,2436,63,90,21,46,74,22,64,112,50,3015,77,107,22,58,91,22,78,118
41,2494,64,92,22,48,76,22,65,112,51,3072,78,109,22,59,92,22,79,118
42,2552,66,93,22,49,77,22,66,113,52,3130,80,111,22,60,94,22,81,119
43,2610,67,95,22,50,79,22,68,113,53,3188,81,112,22,62,95,22,82,119
44,2667,68,97,22,51,81,22,69,114,54,3246,83,114,22,63,97,22,84,120
45,2725,70,99,22,52,82,22,71,115,55,3304,84,116,22,64,99,23,85,121
46,2783,71,100,22,53,84,22,72,115,56,3362,86,117,22,65,100,23,87,121
47,2841,73,102,22,55,86,22,74,116,57,3419,87,119,22,66,102,23,88,122
48,2899,74,104,22,56,87,22,75,116,58,3477,88,121,22,68,104,23,90,122
49,2957,76,106,22,57,89,22,77,117,59,3535,90,122,22,69,105,23,91,123
5,411,13,21,20,10,16,20,13,93,15,990,27,43,20,19,33,20,28,98
50,3015,77,107,22,58,91,22,78,118,60,3593,91,124,23,70,107,23,92,124
51,3072,78,109,22,59,92,22,79,118,61,3651,93,126,23,71,109,23,94,124
6,469,15,23,20,11,18,20,15,94,16,1048,29,45,20,20,34,20,29,99
7,527,16,26,20,12,19,20,16,94,17,1105,30,47,20,21,36,21,31,99
8,584,17,28,20,13,21,20,18,95,18,1163,32,49,20,22,38,21,32,100
9,642,19,30,20,14,23,20,19,95,19,1221,33,51,20,23,39,21,33,100
