level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_level,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
1,200,10,10,20,10,8,20,8,104,11,1085,33,23,20,32,19,20,19,110
10,1008,31,22,20,30,18,20,18,109,20,1740,51,37,20,49,30,20,30,116
11,1085,33,23,20,32,19,20,19,110,21,1810,52,39,21,50,31,21,31,117
12,1162,35,25,20,34,20,20,20,111,22,1879,54,40,21,52,33,21,33,117
13,1236,37,26,20,36,21,20,21,111,23,1948,56,42,21,54,34,21,34,118
14,1310,39,28,20,38,22,20,22,112,24,2016,58,44,21,56,35,21,35,119
15,1384,41,29,20,40,24,20,24,113,25,2084,60,45,21,57,37,21,37,119
16,1456,43,31,20,41,25,20,25,113,26,2151,62,47,21,59,38,21,38,120
17,1528,45,32,20,43,26,20,26,114,27,2218,63,49,21,61,39,21,39,121
18,1599,47,34,20,45,27,20,27,115,28,2285,65,50,21,62,41,21,41,121
19,1671,49,36,20,47,29,20,29,115,29,2351,67,52,21,64,42,21,42,122
2,329,13,11,20,13,9,20,9,104,12,1162,35,25,20,34,20,20,20,111
20,1740,51,37,20,49,30,20,30,116,30,2417,69,54,21,66,43,21,43,123
21,1810,52,39,21,50,31,21,31,117,31,2483,70,55,21,67,45,21,45,123
22,1879,54,40,21,52,33,21,33,117,32,2548,72,57,21,69,46,21,46,124
23,1948,56,42,21,54,34,21,34,118,33,2613,74,59,21,71,47,21,47,125
24,2016,58,44,21,56,35,21,35,119,34,2677,76,60,21,72,49,21,49,125
25,2084,60,45,21,57,37,21,37,119,35,2742,77,62,21,74,50,21,50,126
26,2151,62,47,21,59,38,21,38,120,36,2806,79,64,21,76,52,21,52,127
27,2218,63,49,21,61,39,21,39,121,37,2870,81,66,21,77,53,21,53,127
28,2285,65,50,21,62,41,21,41,121,38,2933,82,67,21,79,54,21,54,128
29,2351,67,52,21,64,42,21,42,122,39,2997,84,69,21,81,56,21,56,129
3,424,15,13,20,15,10,20,10,105,13,1236,37,26,20,36,21,20,21,111
30,2417,69,54,21,66,43,21,43,123,40,3060,86,71,21,82,57,21,57,129
31,2483,70,55,21,67,45,21,45,123,41,3123,87,73,22,84,59,22,59,130
33,2613,74,59,21,71,47,21,47,125,43,3247,91,76,22,87,62,22,62,131
34,2677,76,60,21,72,49,21,49,125,44,3310,92,78,22,88,63,22,63,132
35,2742,77,62,21,74,50,21,50,126,45,3372,94,80,22,90,65,22,65,133
36,2806,79,64,21,76,52,21,52,127,46,3433,96,82,22,92,66,22,66,133
37,2870,81,66,21,77,53,21,53,127,47,3495,97,83,22,93,67,22,67,134
38,2933,82,67,21,79,54,21,54,128,48,3557,99,85,22,95,69,22,69,135
39,2997,84,69,21,81,56,21,56,129,49,3618,101,87,22,96,70,22,70,135
4,515,18,14,20,18,11,20,11,105,14,1310,39,28,20,38,22,20,22,112
44,3310,92,78,22,88,63,22,63,132,54,3921,109,96,22,104,78,22,78,139
45,3372,94,80,22,90,65,22,65,133,55,3981,110,98,22,106,79,22,79,139
47,3495,97,83,22,93,67,22,67,134,57,4100,114,102,22,109,82,22,82,141
48,3557,99,85,22,95,69,22,69,135,58,4160,115,104,22,110,84,22,84,141
49,3618,101,87,22,96,70,22,70,135,59,4220,117,106,22,112,85,22,85,142
5,603,20,15,20,20,12,20,12,106,15,1384,41,29,20,40,24,20,24,113
50,3679,102,89,22,98,72,22,72,136,60,4279,118,107,23,113,87,23,87,143
6,687,23,16,20,22,13,20,13,107,16,1456,43,31,20,41,25,20,25,113
7,770,25,18,20,24,14,20,14,107,17,1528,45,32,20,43,26,20,26,114
8,851,27,19,20,26,15,20,15,108,18,1599,47,34,20,45,27,20,27,115
9,930,29,21,20,28,16,20,16,109,19,1671,49,36,20,47,29,20,29,115
