level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_level,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
32,2471,74,40,21,48,45,21,46,126,42,3090,91,52,22,59,59,22,60,133
34,2597,77,43,21,50,48,21,49,128,44,3211,94,55,22,61,62,22,63,134
36,2722,81,45,21,52,51,21,52,129,46,3330,98,58,22,63,65,22,66,136
37,2784,82,46,21,54,52,21,53,130,47,3390,99,59,22,65,67,22,67,136
38,2845,84,47,21,55,54,21,54,130,48,3450,101,60,22,66,68,22,69,137
39,2907,86,49,21,56,55,21,56,131,49,3509,103,61,22,67,69,22,70,138
41,3029,89,51,22,58,58,22,59,132,51,3627,106,64,22,69,72,22,73,139
42,3090,91,52,22,59,59,22,60,133,52,3686,108,65,22,70,74,22,75,140
47,3390,99,59,22,65,67,22,67,136,57,3977,116,72,22,75,81,22,82,143
48,3450,101,60,22,66,68,22,69,137,58,4035,118,73,22,76,83,22,84,144
49,3509,103,61,22,67,69,22,70,138,59,4093,119,74,22,77,84,22,85,145
50,3569,104,63,22,68,71,22,72,139,60,4151,121,76,23,78,86,23,87,145
