level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_level,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
1,200,10,9,20,10,7,20,8,111,11,842,28,21,20,32,16,20,22,117
14,1036,33,25,20,38,18,20,26,120,24,1678,51,39,21,56,29,21,41,126
16,1164,37,28,20,42,20,20,29,121,26,1807,55,42,21,60,31,21,43,128
19,1357,42,32,20,47,23,20,33,123,29,1999,60,46,21,65,34,21,48,130
23,1614,49,37,21,54,28,21,39,126,33,2256,67,52,21,72,38,21,54,133
24,1678,51,39,21,56,29,21,41,126,34,2321,69,54,21,73,40,21,55,133
26,1807,55,42,21,60,31,21,43,128,36,2449,73,57,21,77,42,21,58,135
27,1871,56,43,21,61,32,21,45,129,37,2513,75,59,21,78,43,21,59,135
32,2192,65,51,21,70,37,21,52,132,42,2835,84,66,22,86,49,22,66,139
40,2707,80,63,21,83,46,21,64,138,50,3350,98,79,22,99,58,22,78,145
41,2771,82,65,22,85,48,22,65,138,51,3414,100,81,22,101,59,22,79,145
42,2835,84,66,22,86,49,22,66,139,52,3478,102,83,22,102,60,22,81,146
9,714,24,18,20,28,14,20,19,116,19,1357,42,32,20,47,23,20,33,123
