level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_level,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
1,158,7,12,20,6,11,20,9,92,11,665,18,39,20,14,29,20,24,96
15,869,23,49,20,17,37,20,31,98,25,1376,34,70,21,26,55,21,46,103
16,919,24,51,20,18,39,20,32,99,26,1427,35,73,21,27,57,21,48,104
17,970,25,53,20,19,40,21,34,99,27,1478,36,75,21,28,59,21,50,104
19,1072,27,57,20,21,44,21,37,100,29,1579,39,79,21,30,63,21,53,105
21,1173,30,62,21,23,48,21,40,101,31,1681,41,83,21,32,67,21,56,107
22,1224,31,64,21,24,50,21,42,102,32,1732,42,85,21,33,68,21,58,107
23,1275,32,66,21,25,52,21,43,102,33,1782,43,87,21,34,70,21,59,108
24,1326,33,68,21,26,53,21,45,103,34,1833,45,89,21,35,72,21,61,108
25,1376,34,70,21,26,55,21,46,103,35,1884,46,91,21,36,74,22,62,109
26,1427,35,73,21,27,57,21,48,104,36,1935,47,93,21,37,76,22,64,109
27,1478,36,75,21,28,59,21,50,104,37,1986,48,95,21,38,78,22,65,110
28,1529,38,77,21,29,61,21,51,105,38,2037,49,97,21,39,80,22,67,110
29,1579,39,79,21,30,63,21,53,105,39,2088,50,99,21,40,81,22,69,111
50,2646,63,120,22,52,102,22,86,118,60,3154,75,139,23,63,121,23,102,124
51,2697,64,122,22,53,104,22,88,118,61,3204,76,141,23,64,123,23,103,124
52,2748,65,124,22,54,106,22,89,119,62,3255,77,143,23,65,124,23,105,125
53,2798,66,126,22,55,108,22,91,119,63,3306,78,145,23,66,126,23,107,125
8,513,15,32,20,11,24,20,20,95,18,1021,26,55,20,20,42,21,35,100
