level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_level,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
1,230,11,7,20,9,7,20,8,102,11,1248,36,16,20,30,16,20,19,108
10,1160,34,15,20,28,15,20,18,107,20,2002,55,24,20,46,24,20,30,114
11,1248,36,16,20,30,16,20,19,108,21,2081,57,26,21,48,26,21,31,114
12,1336,38,16,20,32,16,20,20,108,22,2161,59,27,21,50,27,21,33,115
13,1422,41,17,20,34,17,20,21,109,23,2240,61,28,21,52,28,21,34,115
14,1507,43,18,20,36,18,20,22,110,24,2318,63,29,21,53,29,21,35,116
15,1592,45,19,20,38,19,20,24,110,25,2396,65,30,21,55,30,21,37,117
16,1675,47,20,20,39,20,20,25,111,26,2474,67,31,21,57,31,21,38,117
17,1757,49,21,20,41,21,20,26,112,27,2551,69,32,21,58,32,21,39,118
18,1839,51,22,20,43,22,20,27,112,28,2628,71,33,21,60,33,21,41,119
19,1921,53,23,20,45,23,20,29,113,29,2704,73,34,21,61,34,21,42,119
2,378,14,8,20,12,8,20,9,102,12,1336,38,16,20,32,16,20,20,108
20,2002,55,24,20,46,24,20,30,114,30,2780,75,35,21,63,35,21,43,120
21,2081,57,26,21,48,26,21,31,114,31,2855,77,36,21,65,36,21,45,120
22,2161,59,27,21,50,27,21,33,115,32,2930,79,37,21,66,37,21,46,121
23,2240,61,28,21,52,28,21,34,115,33,3005,81,38,21,68,38,21,47,122
24,2318,63,29,21,53,29,21,35,116,34,3079,82,40,21,69,40,21,49,122
25,2396,65,30,21,55,30,21,37,117,35,3153,84,41,21,71,41,21,50,123
26,2474,67,31,21,57,31,21,38,117,36,3227,86,42,21,73,42,21,52,124
27,2551,69,32,21,58,32,21,39,118,37,3301,88,43,21,74,43,21,53,124
28,2628,71,33,21,60,33,21,41,119,38,3373,90,44,21,76,44,21,54,125
29,2704,73,34,21,61,34,21,42,119,39,3446,92,45,21,77,45,21,56,126
3,488,17,9,20,14,9,20,10,103,13,1422,41,17,20,34,17,20,21,109
30,2780,75,35,21,63,35,21,43,120,40,3519,94,46,21,79,46,21,57,126
31,2855,77,36,21,65,36,21,45,120,41,3591,95,48,22,80,48,22,59,127
32,2930,79,37,21,66,37,21,46,121,42,3663,97,49,22,82,49,22,60,127
33,3005,81,38,21,68,38,21,47,122,43,3735,99,50,22,83,50,22,62,128
34,3079,82,40,21,69,40,21,49,122,44,3806,101,51,22,85,51,22,63,129
35,3153,84,41,21,71,41,21,50,123,45,3877,103,52,22,87,52,22,65,129
36,3227,86,42,21,73,42,21,52,124,46,3948,104,53,22,88,53,22,66,130
37,3301,88,43,21,74,43,21,53,124,47,4019,106,55,22,90,55,22,67,131
38,3373,90,44,21,76,44,21,54,125,48,4090,108,56,22,91,56,22,69,131
39,3446,92,45,21,77,45,21,56,126,49,4161,110,57,22,93,57,22,70,132
4,592,20,9,20,16,9,20,11,103,14,1507,43,18,20,36,18,20,22,110
40,3519,94,46,21,79,46,21,57,126,50,4231,112,58,22,94,58,22,72,133
41,3591,95,48,22,80,48,22,59,127,51,4300,113,59,22,96,59,22,73,133
42,3663,97,49,22,82,49,22,60,127,52,4370,115,60,22,97,60,22,75,134
43,3735,99,50,22,83,50,22,62,128,53,4440,117,62,22,99,62,22,76,134
44,3806,101,51,22,85,51,22,63,129,54,4509,119,63,22,100,63,22,78,135
45,3877,103,52,22,87,52,22,65,129,55,4578,120,64,22,102,64,22,79,136
46,3948,104,53,22,88,53,22,66,130,56,4648,122,65,22,103,65,22,81,136
47,4019,106,55,22,90,55,22,67,131,57,4716,124,66,22,104,66,22,82,137
48,4090,108,56,22,91,56,22,69,131,58,4784,126,68,22,106,68,22,84,138
49,4161,110,57,22,93,57,22,70,132,59,4853,127,69,22,107,69,22,85,138
5,693,22,10,20,18,10,20,12,104,15,1592,45,19,20,38,19,20,24,110
50,4231,112,58,22,94,58,22,72,133,60,4921,129,70,23,109,70,23,87,139
51,4300,113,59,22,96,59,22,73,133,61,4989,131,71,23,110,71,23,88,139
52,4370,115,60,22,97,60,22,75,134,62,5057,132,73,23,112,73,23,90,140
6,790,25,11,20,20,11,20,13,105,16,1675,47,20,20,39,20,20,25,111
7,886,27,12,20,23,12,20,14,105,17,1757,49,21,20,41,21,20,26,112
8,979,29,13,20,25,13,20,15,106,18,1839,51,22,20,43,22,20,27,112
9,1070,32,14,20,26,14,20,16,107,19,1921,53,23,20,45,23,20,29,113
