level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_level,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
1,184,10,8,20,7,8,20,9,88,11,775,26,19,20,23,19,20,24,93
10,716,25,18,20,21,18,20,22,92,20,1307,42,30,20,35,30,20,37,98
11,775,26,19,20,23,19,20,24,93,21,1366,43,31,21,36,31,21,39,99
12,834,28,20,20,24,20,20,25,94,22,1426,45,33,21,37,33,21,40,99
13,893,30,21,20,26,21,20,27,94,23,1485,47,34,21,39,34,21,42,100
14,953,32,22,20,27,22,20,28,95,24,1544,48,35,21,40,35,21,43,100
15,1012,33,24,20,28,24,20,30,95,25,1603,50,37,21,41,37,21,45,101
16,1071,35,25,20,30,25,20,31,96,26,1662,52,38,21,42,38,21,46,101
17,1130,37,26,20,31,26,20,33,96,27,1721,54,39,21,44,39,21,48,102
18,1189,38,27,20,32,27,20,34,97,28,1780,55,41,21,45,41,21,49,102
19,1248,40,29,20,34,29,20,36,97,29,1839,57,42,21,46,42,21,51,103
2,243,11,9,20,9,9,20,10,88,12,834,28,20,20,24,20,20,25,94
20,1307,42,30,20,35,30,20,37,98,30,1899,59,43,21,47,43,21,52,103
21,1366,43,31,21,36,31,21,39,99,31,1958,60,45,21,49,45,21,54,104
22,1426,45,33,21,37,33,21,40,99,32,2017,62,46,21,50,46,21,55,105
23,1485,47,34,21,39,34,21,42,100,33,2076,64,47,21,51,47,21,57,105
24,1544,48,35,21,40,35,21,43,100,34,2135,65,49,21,52,49,21,58,106
25,1603,50,37,21,41,37,21,45,101,35,2194,67,50,21,53,50,21,60,106
26,1662,52,38,21,42,38,21,46,101,36,2253,69,52,21,54,52,21,61,107
27,1721,54,39,21,44,39,21,48,102,37,2312,70,53,21,56,53,21,63,107
28,1780,55,41,21,45,41,21,49,102,38,2372,72,54,21,57,54,21,64,108
29,1839,57,42,21,46,42,21,51,103,39,2431,74,56,21,58,56,21,66,108
3,302,13,10,20,11,10,20,12,89,13,893,30,21,20,26,21,20,27,94
30,1899,59,43,21,47,43,21,52,103,40,2490,76,57,21,59,57,21,67,109
31,1958,60,45,21,49,45,21,54,104,41,2549,77,59,22,60,59,22,69,110
32,2017,62,46,21,50,46,21,55,105,42,2609,79,60,22,61,60,22,70,110
33,2076,64,47,21,51,47,21,57,105,43,2668,81,62,22,63,62,22,72,111
34,2135,65,49,21,52,49,21,58,106,44,2727,82,63,22,64,63,22,73,111
35,2194,67,50,21,53,50,21,60,106,45,2786,84,65,22,65,65,22,75,112
36,2253,69,52,21,54,52,21,61,107,46,2845,86,66,22,66,66,22,76,112
37,2312,70,53,21,56,53,21,63,107,47,2904,87,67,22,67,67,22,78,113
38,2372,72,54,21,57,54,21,64,108,48,2963,89,69,22,68,69,22,79,113
39,2431,74,56,21,58,56,21,66,108,49,3022,91,70,22,69,70,22,81,114
4,361,15,11,20,12,11,20,13,89,14,953,32,22,20,27,22,20,28,95
40,2490,76,57,21,59,57,21,67,109,50,3082,93,72,22,71,72,22,83,115
41,2549,77,59,22,60,59,22,69,110,51,3141,94,73,22,72,73,22,84,115
42,2609,79,60,22,61,60,22,70,110,52,3200,96,75,22,73,75,22,86,116
43,2668,81,62,22,63,62,22,72,111,53,3259,98,76,22,74,76,22,87,116
44,2727,82,63,22,64,63,22,73,111,54,3318,99,78,22,75,78,22,89,117
45,2786,84,65,22,65,65,22,75,112,55,3377,101,79,22,76,79,22,90,117
46,2845,86,66,22,66,66,22,76,112,56,3436,103,81,22,77,81,22,92,118
47,2904,87,67,22,67,67,22,78,113,57,3495,104,82,22,78,82,22,93,118
48,2963,89,69,22,68,69,22,79,113,58,3554,106,84,22,79,84,22,95,119
49,3022,91,70,22,69,70,22,81,114,59,3614,108,85,22,81,85,22,96,119
5,420,16,12,20,14,12,20,15,90,15,1012,33,24,20,28,24,20,30,95
50,3082,93,72,22,71,72,22,83,115,60,3673,109,87,23,82,87,23,98,120
56,3436,103,81,22,77,81,22,92,118,66,4028,120,96,23,88,96,23,107,123
57,3495,104,82,22,78,82,22,93,118,67,4087,121,98,23,89,98,23,108,124
58,3554,106,84,22,79,84,22,95,119,68,4146,123,99,23,90,99,23,110,124
6,479,18,13,20,15,13,20,16,90,16,1071,35,25,20,30,25,20,31,96
7,538,20,14,20,17,14,20,18,91,17,1130,37,26,20,31,26,20,33,96
8,597,21,15,20,18,15,20,19,91,18,1189,38,27,20,32,27,20,34,97
9,656,23,16,20,20,16,20,21,92,19,1248,40,29,20,34,29,20,36,97
