level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_level,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
1,176,7,10,20,6,10,20,12,92,11,741,18,27,20,14,33,20,39,96
10,684,17,25,20,13,31,20,37,96,20,1250,28,42,20,22,50,21,59,101
11,741,18,27,20,14,33,20,39,96,21,1307,30,44,20,23,52,21,62,101
12,798,19,28,20,15,35,20,41,97,22,1364,31,46,20,24,54,21,64,102
13,854,20,30,20,16,37,20,44,97,23,1420,32,47,20,25,56,21,66,102
14,911,21,32,20,17,39,20,46,98,24,1477,33,49,20,26,57,21,68,103
15,968,23,34,20,18,41,20,48,98,25,1533,34,51,21,27,59,21,70,103
16,1024,24,35,20,19,43,20,51,99,26,1590,35,53,21,28,61,21,72,104
17,1081,25,37,20,19,45,21,53,99,27,1646,36,54,21,29,63,21,74,104
18,1137,26,39,20,20,46,21,55,100,28,1703,38,56,21,30,64,21,76,105
19,1194,27,41,20,21,48,21,57,100,29,1759,39,58,21,31,66,21,78,105
2,232,8,11,20,7,13,20,16,92,12,798,19,28,20,15,35,20,41,97
20,1250,28,42,20,22,50,21,59,101,30,1816,40,60,21,32,68,21,80,106
21,1307,30,44,20,23,52,21,62,101,31,1873,41,61,21,33,70,21,83,107
22,1364,31,46,20,24,54,21,64,102,32,1929,42,63,21,34,71,21,85,107
23,1420,32,47,20,25,56,21,66,102,33,1986,43,65,21,35,73,21,87,108
24,1477,33,49,20,26,57,21,68,103,34,2042,45,66,21,37,75,21,89,108
25,1533,34,51,21,27,59,21,70,103,35,2099,46,68,21,38,76,22,91,109
26,1590,35,53,21,28,61,21,72,104,36,2155,47,70,21,39,78,22,93,109
27,1646,36,54,21,29,63,21,74,104,37,2212,48,72,21,40,80,22,95,110
28,1703,38,56,21,30,64,21,76,105,38,2269,49,73,21,41,82,22,97,110
29,1759,39,58,21,31,66,21,78,105,39,2325,50,75,21,42,83,22,99,111
3,289,9,13,20,7,15,20,18,93,13,854,20,30,20,16,37,20,44,97
30,1816,40,60,21,32,68,21,80,106,40,2382,51,77,21,43,85,22,100,112
31,1873,41,61,21,33,70,21,83,107,41,2439,53,78,21,44,87,22,102,112
32,1929,42,63,21,34,71,21,85,107,42,2495,54,80,21,45,88,22,104,113
33,1986,43,65,21,35,73,21,87,108,43,2552,55,82,21,46,90,22,106,113
34,2042,45,66,21,37,75,21,89,108,44,2608,56,84,21,47,91,22,108,114
35,2099,46,68,21,38,76,22,91,109,45,2665,57,85,22,48,93,22,110,115
36,2155,47,70,21,39,78,22,93,109,46,2721,58,87,22,49,95,22,112,115
37,2212,48,72,21,40,80,22,95,110,47,2778,60,89,22,51,96,22,114,116
38,2269,49,73,21,41,82,22,97,110,48,2834,61,91,22,52,98,22,116,116
39,2325,50,75,21,42,83,22,99,111,49,2891,62,92,22,53,100,22,118,117
4,345,10,15,20,8,18,20,21,93,14,911,21,32,20,17,39,20,46,98
40,2382,51,77,21,43,85,22,100,112,50,2948,63,94,22,54,101,22,120,118
41,2439,53,78,21,44,87,22,102,112,51,3004,64,96,22,55,103,22,122,118
42,2495,54,80,21,45,88,22,104,113,52,3061,65,97,22,56,104,22,124,119
43,2552,55,82,21,46,90,22,106,113,53,3117,66,99,22,57,106,22,125,119
44,2608,56,84,21,47,91,22,108,114,54,3174,68,101,22,58,108,22,127,120
45,2665,57,85,22,48,93,22,110,115,55,3230,69,103,22,59,109,23,129,121
46,2721,58,87,22,49,95,22,112,115,56,3287,70,104,22,61,111,23,131,121
47,2778,60,89,22,51,96,22,114,116,57,3343,71,106,22,62,112,23,133,122
48,2834,61,91,22,52,98,22,116,116,58,3400,72,108,22,63,114,23,135,122
49,2891,62,92,22,53,100,22,118,117,59,3456,73,110,22,64,115,23,137,123
5,402,11,16,20,9,20,20,24,93,15,968,23,34,20,18,41,20,48,98
50,2948,63,94,22,54,101,22,120,118,60,3513,75,111,22,65,117,23,138,124
6,458,12,18,20,10,22,20,27,94,16,1024,24,35,20,19,43,20,51,99
7,515,13,20,20,11,25,20,29,94,17,1081,25,37,20,19,45,21,53,99
8,571,15,22,20,11,27,20,32,95,18,1137,26,39,20,20,46,21,55,100
9,628,16,23,20,12,29,20,34,95,19,1194,27,41,20,21,48,21,57,100
