level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_level,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
1,220,14,9,20,9,9,20,9,104,11,1194,35,20,20,29,23,20,20,110
25,2292,66,38,21,51,44,21,38,118,35,3016,88,52,21,66,58,21,52,123
26,2366,68,39,21,53,45,21,39,118,36,3086,90,53,21,68,60,21,53,123
27,2440,70,41,21,54,46,21,41,119,37,3157,92,55,21,69,61,21,55,124
29,2586,75,43,21,57,49,21,43,120,39,3296,96,58,21,72,64,21,58,125
31,2731,79,46,21,60,52,21,46,121,41,3435,101,60,21,75,67,22,60,126
32,2802,81,48,21,62,54,21,48,121,42,3504,103,62,21,76,68,22,62,126
33,2874,83,49,21,63,55,21,49,122,43,3572,105,63,21,78,70,22,63,127
34,2945,86,50,21,65,57,21,50,122,44,3641,107,65,21,79,71,22,65,127
35,3016,88,52,21,66,58,21,52,123,45,3709,110,66,22,81,73,22,66,128
36,3086,90,53,21,68,60,21,53,123,46,3777,112,68,22,82,74,22,68,128
44,3641,107,65,21,79,71,22,65,127,54,4313,129,80,22,93,86,22,80,132
50,4047,121,74,22,87,80,22,74,130,60,4707,142,89,22,101,95,23,89,135
51,4113,123,75,22,89,81,22,75,130,61,4773,145,91,22,102,96,23,91,135
52,4180,125,77,22,90,83,22,77,131,62,4837,147,92,22,104,98,23,92,135
53,4247,127,78,22,92,84,22,78,131,63,4902,149,94,22,105,99,23,94,136
54,4313,129,80,22,93,86,22,80,132,64,4967,151,95,23,106,100,23,95,136
55,4379,131,81,22,94,87,22,81,132,65,5031,153,97,23,108,102,23,97,137
57,4511,136,84,22,97,90,22,84,133,67,5160,158,100,23,110,105,23,100,138
58,4576,138,86,22,98,92,22,86,134,68,5224,160,101,23,112,106,23,101,138
59,4642,140,87,22,100,93,22,87,134,69,5287,162,103,23,113,108,23,103,139
60,4707,142,89,22,101,95,23,89,135,70,5351,164,105,23,114,109,23,105,139
61,4773,145,91,22,102,96,23,91,135,71,5415,166,106,23,116,111,23,106,139
62,4837,147,92,22,104,98,23,92,135,72,5479,169,108,23,117,112,23,108,140
65,5031,153,97,23,108,102,23,97,137,75,5668,175,113,23,121,116,23,113,141
