level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_level,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
1,224,10,9,20,10,7,20,8,111,11,1216,34,20,20,32,16,20,19,117
10,1129,32,19,20,30,15,20,18,117,20,1949,52,31,20,49,24,20,30,124
11,1216,34,20,20,32,16,20,19,117,21,2027,53,32,21,51,26,21,31,124
12,1301,36,21,20,34,16,20,20,118,22,2105,55,34,21,53,27,21,33,125
13,1385,38,22,20,36,17,20,21,119,23,2182,57,35,21,54,28,21,34,126
14,1467,40,23,20,38,18,20,22,120,24,2258,59,36,21,56,29,21,35,126
15,1550,42,25,20,40,19,20,24,120,25,2334,61,38,21,58,30,21,37,127
16,1631,44,26,20,42,20,20,25,121,26,2409,63,39,21,60,31,21,38,128
17,1712,46,27,20,44,21,20,26,122,27,2484,65,40,21,61,32,21,39,129
18,1791,48,29,20,45,22,20,27,122,28,2559,66,42,21,63,33,21,41,129
19,1871,50,30,20,47,23,20,29,123,29,2633,68,43,21,65,34,21,42,130
2,368,13,10,20,13,8,20,9,111,12,1301,36,21,20,34,16,20,20,118
20,1949,52,31,20,49,24,20,30,124,30,2707,70,45,21,67,35,21,43,131
21,2027,53,32,21,51,26,21,31,124,31,2781,72,46,21,68,36,21,45,131
22,2105,55,34,21,53,27,21,33,125,32,2853,74,47,21,70,37,21,46,132
23,2182,57,35,21,54,28,21,34,126,33,2927,75,49,21,72,38,21,47,133
24,2258,59,36,21,56,29,21,35,126,34,2999,77,50,21,73,40,21,49,133
25,2334,61,38,21,58,30,21,37,127,35,3071,79,51,21,75,41,21,50,134
26,2409,63,39,21,60,31,21,38,128,36,3143,81,53,21,77,42,21,52,135
27,2484,65,40,21,61,32,21,39,129,37,3215,82,54,21,78,43,21,53,135
28,2559,66,42,21,63,33,21,41,129,38,3285,84,56,21,80,44,21,54,136
29,2633,68,43,21,65,34,21,42,130,39,3356,86,57,21,81,45,21,56,137
3,475,16,11,20,15,9,20,10,112,13,1385,38,22,20,36,17,20,21,119
30,2707,70,45,21,67,35,21,43,131,40,3427,88,59,21,83,46,21,57,138
31,2781,72,46,21,68,36,21,45,131,41,3497,89,60,22,85,48,22,59,138
32,2853,74,47,21,70,37,21,46,132,42,3567,91,62,22,86,49,22,60,139
33,2927,75,49,21,72,38,21,47,133,43,3637,93,63,22,88,50,22,62,140
34,2999,77,50,21,73,40,21,49,133,44,3707,94,64,22,89,51,22,63,140
35,3071,79,51,21,75,41,21,50,134,45,3776,96,66,22,91,52,22,65,141
36,3143,81,53,21,77,42,21,52,135,46,3845,98,67,22,93,53,22,66,142
37,3215,82,54,21,78,43,21,53,135,47,3914,99,69,22,94,55,22,67,142
38,3285,84,56,21,80,44,21,54,136,48,3984,101,70,22,96,56,22,69,143
39,3356,86,57,21,81,45,21,56,137,49,4052,103,72,22,97,57,22,70,144
4,577,18,12,20,18,9,20,11,113,14,1467,40,23,20,38,18,20,22,120
40,3427,88,59,21,83,46,21,57,138,50,4121,104,73,22,99,58,22,72,145
41,3497,89,60,22,85,48,22,59,138,51,4188,106,75,22,101,59,22,73,145
42,3567,91,62,22,86,49,22,60,139,52,4256,108,76,22,102,60,22,75,146
43,3637,93,63,22,88,50,22,62,140,53,4324,109,78,22,104,62,22,76,147
44,3707,94,64,22,89,51,22,63,140,54,4391,111,79,22,105,63,22,78,147
45,3776,96,66,22,91,52,22,65,141,55,4459,113,81,22,107,64,22,79,148
46,3845,98,67,22,93,53,22,66,142,56,4526,114,82,22,108,65,22,81,149
47,3914,99,69,22,94,55,22,67,142,57,4593,116,84,22,110,66,22,82,149
48,3984,101,70,22,96,56,22,69,143,58,4660,118,85,22,111,68,22,84,150
49,4052,103,72,22,97,57,22,70,144,59,4726,119,87,22,113,69,22,85,151
5,675,21,13,20,20,10,20,12,113,15,1550,42,25,20,40,19,20,24,120
50,4121,109,73,22,99,58,22,72,145,60,4793,126,88,23,114,70,23,87,151
6,770,23,14,20,22,11,20,13,114,16,1631,44,26,20,42,20,20,25,121
7,863,25,15,20,24,12,20,14,115,17,1712,46,27,20,44,21,20,26,122
8,953,27,16,20,26,13,20,15,115,18,1791,48,29,20,45,22,20,27,122
9,1042,29,18,20,28,14,20,16,116,19,1871,50,30,20,47,23,20,29,123
