level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_level,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
49,3654,108,70,22,76,77,22,70,111,59,4262,128,85,22,89,91,22,85,116
50,3716,110,72,22,78,78,22,72,111,60,4322,130,87,22,90,92,23,87,116
51,3777,112,73,22,79,79,22,73,112,61,4382,132,88,22,91,94,23,88,117
52,3838,114,75,22,80,81,22,75,112,62,4441,134,90,22,92,95,23,90,117
53,3899,116,76,22,81,82,22,76,113,63,4501,136,91,22,93,97,23,91,118
54,3960,118,78,22,83,84,22,78,113,64,4560,138,93,23,94,98,23,93,118
55,4021,120,79,22,84,85,22,79,114,65,4619,140,95,23,96,100,23,95,119
56,4082,122,81,22,85,87,22,81,114,66,4679,142,96,23,97,101,23,96,119
57,4141,124,82,22,86,88,22,82,115,67,4738,144,98,23,98,102,23,98,120
58,4202,126,84,22,87,90,22,84,115,68,4796,146,99,23,99,104,23,99,120
59,4262,128,85,22,89,91,22,85,116,69,4855,148,101,23,100,105,23,101,121
