level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_level,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
1,200,12,8,20,8,8,26,8,111,11,1085,31,19,20,25,20,26,19,120
10,1008,29,18,20,24,19,26,18,119,20,1740,49,30,20,39,32,27,30,127
12,1162,33,20,20,27,22,26,20,121,22,1879,53,33,20,41,35,27,33,129
13,1236,35,21,20,28,23,26,21,122,23,1948,55,34,20,43,36,27,34,129
14,1310,37,22,20,30,24,26,22,122,24,2016,57,35,20,44,37,27,35,130
15,1384,39,24,20,31,26,27,24,123,25,2084,59,37,21,45,39,27,37,131
16,1456,41,25,20,33,27,27,25,124,26,2151,61,38,21,47,40,27,38,132
17,1528,43,26,20,34,28,27,26,125,27,2218,63,39,21,48,41,27,39,132
18,1599,45,27,20,36,30,27,27,126,28,2285,65,41,21,50,42,27,41,133
19,1671,47,29,20,37,31,27,29,126,29,2351,67,42,21,51,44,27,42,134
2,329,13,9,20,10,9,26,9,112,12,1162,33,20,20,27,22,26,20,121
20,1740,49,30,20,39,32,27,30,127,30,2417,69,43,21,52,45,28,43,134
21,1810,51,31,20,40,33,27,31,128,31,2483,71,45,21,54,46,28,45,135
22,1879,53,33,20,41,35,27,33,129,32,2548,73,46,21,55,48,28,46,136
23,1948,55,34,20,43,36,27,34,129,33,2613,75,47,21,56,49,28,47,137
24,2016,57,35,20,44,37,27,35,130,34,2677,77,49,21,57,50,28,49,137
25,2084,59,37,21,45,39,27,37,131,35,2742,79,50,21,59,52,28,50,138
26,2151,61,38,21,47,40,27,38,132,36,2806,81,52,21,60,53,28,52,139
27,2218,63,39,21,48,41,27,39,132,37,2870,83,53,21,61,54,28,53,139
28,2285,65,41,21,50,42,27,41,133,38,2933,85,54,21,63,55,28,54,140
29,2351,67,42,21,51,44,27,42,134,39,2997,87,56,21,64,57,28,56,141
3,424,15,10,20,12,10,26,10,113,13,1236,35,21,20,28,23,26,21,122
30,2417,69,43,21,52,45,28,43,134,40,3060,89,57,21,65,58,28,57,141
31,2483,71,45,21,54,46,28,45,135,41,3123,91,59,21,66,59,28,59,142
32,2548,73,46,21,55,48,28,46,136,42,3185,93,60,21,68,61,28,60,143
33,2613,75,47,21,56,49,28,47,137,43,3247,95,62,21,69,62,29,62,143
34,2677,77,49,21,57,50,28,49,137,44,3310,97,63,21,70,63,29,63,144
35,2742,79,50,21,59,52,28,50,138,45,3372,99,65,22,71,65,29,65,145
36,2806,81,52,21,60,53,28,52,139,46,3433,101,66,22,73,66,29,66,145
37,2870,83,53,21,61,54,28,53,139,47,3495,103,67,22,74,67,29,67,146
38,2933,85,54,21,63,55,28,54,140,48,3557,105,69,22,75,68,29,69,147
39,2997,87,56,21,64,57,28,56,141,49,3618,107,70,22,76,70,29,70,147
4,515,17,11,20,14,11,26,11,114,14,1310,37,22,20,30,24,26,22,122
40,3060,89,57,21,65,58,28,57,141,50,3679,109,72,22,78,71,29,72,148
41,3123,91,59,21,66,59,28,59,142,51,3739,110,73,22,79,72,29,73,149
42,3185,93,60,21,68,61,28,60,143,52,3800,112,75,22,80,74,29,75,149
43,3247,95,62,21,69,62,29,62,143,53,3860,114,76,22,81,75,29,76,150
44,3310,97,63,21,70,63,29,63,144,54,3921,116,78,22,83,76,29,78,151
45,3372,99,65,22,71,65,29,65,145,55,3981,118,79,22,84,77,29,79,151
46,3433,101,66,22,73,66,29,66,145,56,4041,120,81,22,85,79,29,81,152
47,3495,103,67,22,74,67,29,67,146,57,4100,122,82,22,86,80,29,82,153
48,3557,105,69,22,75,68,29,69,147,58,4160,124,84,22,87,81,30,84,153
49,3618,107,70,22,76,70,29,70,147,59,4220,126,85,22,89,83,30,85,154
5,603,19,12,20,16,13,26,12,115,15,1384,39,24,20,31,26,27,24,123
50,3679,109,72,22,78,71,29,72,148,60,4279,128,87,22,90,84,30,87,155
6,687,21,13,20,17,14,26,13,116,16,1456,41,25,20,33,27,27,25,124
65,4574,138,95,23,96,90,30,95,158,75,5153,158,110,23,107,103,31,110,164
7,770,23,14,20,19,15,26,14,117,17,1528,43,26,20,34,28,27,26,125
8,851,25,15,20,21,17,26,15,118,18,1599,45,27,20,36,30,27,27,126
9,930,27,16,20,22,18,26,16,118,19,1671,47,29,20,37,31,27,29,126
