level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_level,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
1,197,12,8,20,9,8,24,8,111,11,1069,31,22,20,24,22,24,19,120
10,993,29,20,20,23,20,24,18,119,20,1714,50,35,21,39,35,24,30,127
11,1069,31,22,20,24,22,24,19,120,21,1783,52,36,21,40,36,25,31,128
13,1218,35,25,20,27,25,24,21,122,23,1919,56,39,21,43,39,25,34,129
14,1291,38,26,20,29,26,24,22,122,24,1986,58,41,21,45,41,25,35,130
15,1363,40,28,20,31,28,24,24,123,25,2053,60,42,21,46,42,25,37,131
16,1434,42,29,20,32,29,24,25,124,26,2119,61,43,21,48,43,25,38,132
17,1505,44,31,21,34,31,24,26,125,27,2185,63,45,21,50,45,25,39,132
18,1575,46,32,21,35,32,24,27,126,28,2251,65,46,21,51,46,25,41,133
19,1645,48,33,21,37,33,24,29,126,29,2316,67,48,21,53,48,25,42,134
2,324,13,9,20,10,9,24,9,112,12,1144,33,23,20,26,23,24,20,121
20,1714,50,35,21,39,35,24,30,127,30,2381,69,49,21,54,49,25,43,134
21,1783,52,36,21,40,36,25,31,128,31,2445,71,51,21,56,51,25,45,135
22,1851,54,38,21,42,38,25,33,129,32,2509,73,52,21,58,52,25,46,136
23,1919,56,39,21,43,39,25,34,129,33,2574,75,54,21,59,54,25,47,137
24,1986,58,41,21,45,41,25,35,130,34,2637,77,55,21,61,55,25,49,137
25,2053,60,42,21,46,42,25,37,131,35,2700,79,56,22,62,56,25,50,138
26,2119,61,43,21,48,43,25,38,132,36,2764,81,58,22,64,58,25,52,139
27,2185,63,45,21,50,45,25,39,132,37,2827,83,59,22,65,59,25,53,139
28,2251,65,46,21,51,46,25,41,133,38,2889,86,61,22,67,61,25,54,140
29,2316,67,48,21,53,48,25,42,134,39,2952,88,62,22,69,62,26,56,141
3,418,15,10,20,12,10,24,10,113,13,1218,35,25,20,27,25,24,21,122
30,2381,69,49,21,54,49,25,43,134,40,3014,90,64,22,70,64,26,57,141
31,2445,71,51,21,56,51,25,45,135,41,3076,92,65,22,72,65,26,59,142
32,2509,73,52,21,58,52,25,46,136,42,3137,94,66,22,73,66,26,60,143
33,2574,75,54,21,59,54,25,47,137,43,3199,96,68,22,75,68,26,62,143
34,2637,77,55,21,61,55,25,49,137,44,3260,98,69,22,77,69,26,63,144
35,2700,79,56,22,62,56,25,50,138,45,3321,100,71,22,78,71,26,65,145
36,2764,81,58,22,64,58,25,52,139,46,3382,102,72,22,80,72,26,66,145
37,2827,83,59,22,65,59,25,53,139,47,3443,104,74,22,81,74,26,67,146
38,2889,86,61,22,67,61,25,54,140,48,3503,106,75,22,83,75,26,69,147
39,2952,88,62,22,69,62,26,56,141,49,3564,108,77,22,84,77,26,70,147
4,507,17,12,20,13,12,24,11,114,14,1291,38,26,20,29,26,24,22,122
40,3014,90,64,22,70,64,26,57,141,50,3624,110,78,22,86,78,26,72,148
41,3076,92,65,22,72,65,26,59,142,51,3683,111,79,22,88,79,26,73,149
42,3137,94,66,22,73,66,26,60,143,52,3743,113,81,22,89,81,26,75,149
43,3199,96,68,22,75,68,26,62,143,53,3803,115,82,22,91,82,26,76,150
44,3260,98,69,22,77,69,26,63,144,54,3862,117,84,22,92,84,26,78,151
45,3321,100,71,22,78,71,26,65,145,55,3921,119,85,23,94,85,27,79,151
46,3382,102,72,22,80,72,26,66,145,56,3981,121,87,23,95,87,27,81,152
47,3443,104,74,22,81,74,26,67,146,57,4039,123,88,23,97,88,27,82,153
48,3503,106,75,22,83,75,26,69,147,58,4098,125,90,23,99,90,27,84,153
49,3564,108,77,22,84,77,26,70,147,59,4156,127,91,23,100,91,27,85,154
5,594,19,13,20,15,13,24,12,115,15,1363,40,28,20,31,28,24,24,123
50,3624,110,78,22,86,78,26,72,148,60,4215,129,92,23,102,92,27,87,155
51,3683,111,79,22,88,79,26,73,149,61,4274,131,94,23,103,94,27,88,155
53,3803,115,82,22,91,82,26,76,150,63,4390,136,97,23,107,97,27,91,156
54,3862,117,84,22,92,84,26,78,151,64,4447,138,98,23,108,98,27,93,157
55,3921,119,85,23,94,85,27,79,151,65,4505,140,100,23,110,100,27,95,158
56,3981,121,87,23,95,87,27,81,152,66,4563,142,101,23,111,101,27,96,158
57,4039,123,88,23,97,88,27,82,153,67,4620,144,102,23,113,102,27,98,159
58,4098,125,90,23,99,90,27,84,153,68,4677,146,104,23,114,104,27,99,160
59,4156,127,91,23,100,91,27,85,154,69,4735,148,105,23,116,105,27,101,160
6,677,21,15,20,16,15,24,13,116,16,1434,42,29,20,32,29,24,25,124
60,4215,129,92,23,102,92,27,87,155,70,4792,150,107,23,118,107,28,102,161
61,4274,131,94,23,103,94,27,88,155,71,4849,152,108,23,119,108,28,104,161
63,4390,136,97,23,107,97,27,91,156,73,4962,156,111,23,122,111,28,107,163
7,759,23,16,20,18,16,24,14,117,17,1505,44,31,21,34,31,24,26,125
8,838,25,18,20,20,18,24,15,118,18,1575,46,32,21,35,32,24,27,126
9,916,27,19,20,21,19,24,16,118,19,1645,48,33,21,37,33,24,29,126
