level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_level,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
11,801,20,19,20,19,19,20,19,85,21,1483,33,32,21,32,32,21,32,91
12,869,21,20,20,20,20,20,20,86,22,1551,34,33,21,33,33,21,33,91
14,1006,24,23,20,23,23,20,23,87,24,1687,36,35,21,35,35,21,35,92
15,1074,25,24,20,24,24,20,24,88,25,1755,38,37,21,37,37,21,37,93
17,1210,28,27,20,27,27,20,27,89,27,1892,40,39,21,39,39,21,39,93
18,1278,29,28,20,28,28,20,28,89,28,1960,41,40,21,40,40,21,40,94
19,1347,30,29,20,29,29,20,29,90,29,2028,43,42,21,42,42,21,42,94
20,1415,31,30,20,30,30,20,30,90,30,2096,44,43,21,43,43,21,43,95
21,1483,33,32,21,32,32,21,32,91,31,2164,45,44,21,44,44,21,44,95
22,1551,34,33,21,33,33,21,33,91,32,2232,46,45,21,45,45,21,45,96
23,1619,35,34,21,34,34,21,34,92,33,2301,48,47,21,47,47,21,47,96
24,1687,36,35,21,35,35,21,35,92,34,2369,49,48,21,48,48,21,48,97
25,1755,38,37,21,37,37,21,37,93,35,2437,50,49,21,49,49,21,49,97
26,1824,39,38,21,38,38,21,38,93,36,2505,51,50,21,50,50,21,50,98
4,324,11,10,20,10,10,20,10,82,14,1006,24,23,20,23,23,20,23,87
50,3460,69,68,22,68,68,22,68,105,60,4141,82,81,23,81,81,23,81,110
51,3528,70,69,22,69,69,22,69,105,61,4209,83,82,23,82,82,23,82,110
6,460,14,13,20,13,13,20,13,83,16,1142,26,25,20,25,25,20,25,88
7,528,15,14,20,14,14,20,14,83,17,1210,28,27,20,27,27,20,27,89
8,596,16,15,20,15,15,20,15,84,18,1278,29,28,20,28,28,20,28,89
