level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_level,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
1,180,10,8,24,7,8,20,8,92,11,758,27,19,24,22,19,20,22,97
10,700,25,18,24,21,18,20,20,97,20,1279,42,30,25,34,30,20,35,103
12,816,28,20,24,24,20,20,23,98,22,1395,46,33,25,37,33,21,38,104
13,874,30,21,24,25,21,20,25,98,23,1452,47,34,25,38,34,21,39,104
14,932,32,22,24,26,22,20,26,99,24,1510,49,35,25,39,35,21,41,105
16,1048,35,25,24,29,25,20,29,100,26,1626,53,38,25,42,38,21,43,106
17,1105,37,26,24,30,26,20,31,101,27,1684,54,39,25,43,39,21,45,107
18,1163,39,27,25,32,27,20,32,101,28,1742,56,41,25,44,41,21,46,107
19,1221,41,29,25,33,29,20,33,102,29,1799,58,42,25,45,42,21,48,108
20,1279,42,30,25,34,30,20,35,103,30,1857,60,43,25,46,43,21,49,108
21,1337,44,31,25,35,31,21,36,103,31,1915,61,45,25,47,45,21,51,109
22,1395,46,33,25,37,33,21,38,104,32,1973,63,46,25,49,46,21,52,110
23,1452,47,34,25,38,34,21,39,104,33,2031,65,47,25,50,47,21,54,110
24,1510,49,35,25,39,35,21,41,105,34,2089,66,49,26,51,49,21,55,111
25,1568,51,37,25,40,37,21,42,105,35,2146,68,50,26,52,50,21,56,111
26,1626,53,38,25,42,38,21,43,106,36,2204,70,52,26,53,52,21,58,112
27,1684,54,39,25,43,39,21,45,107,37,2262,72,53,26,54,53,21,59,112
28,1742,56,41,25,44,41,21,46,107,38,2320,73,54,26,56,54,21,61,113
29,1799,58,42,25,45,42,21,48,108,39,2378,75,56,26,57,56,21,62,114
30,1857,60,43,25,46,43,21,49,108,40,2436,77,57,26,58,57,21,64,114
4,353,15,11,24,12,11,20,12,93,14,932,32,22,24,26,22,20,26,99
65,3883,120,95,27,85,95,23,100,129,75,4461,137,110,28,95,110,23,114,135
9,642,23,16,24,20,16,20,19,96,19,1221,41,29,25,33,29,20,33,102
