level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_level,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
1,180,6,11,20,6,10,20,11,92,11,758,13,37,20,16,34,20,37,96
10,700,13,35,20,15,31,20,35,96,20,1279,21,57,20,26,51,20,57,101
11,758,13,37,20,16,34,20,37,96,21,1337,22,59,21,27,53,21,59,101
12,816,14,40,20,17,36,20,40,97,22,1395,23,61,21,28,55,21,61,102
13,874,15,42,20,18,38,20,42,97,23,1452,24,64,21,29,57,21,64,102
14,932,16,44,20,20,40,20,44,98,24,1510,25,66,21,30,59,21,66,103
15,990,17,46,20,21,42,20,46,98,25,1568,26,68,21,31,61,21,68,103
16,1048,18,49,20,22,44,20,49,99,26,1626,27,70,21,33,62,21,70,104
17,1105,19,51,20,23,46,20,51,99,27,1684,28,72,21,34,64,21,72,104
18,1163,19,53,20,24,47,20,53,100,28,1742,29,74,21,35,66,21,74,105
19,1221,20,55,20,25,49,20,55,100,29,1799,30,76,21,36,68,21,76,105
2,237,7,14,20,7,13,20,14,92,12,816,14,40,20,17,36,20,40,97
20,1279,21,57,20,26,51,20,57,101,30,1857,31,78,21,37,70,21,78,106
21,1337,22,59,21,27,53,21,59,101,31,1915,32,80,21,38,71,21,80,107
22,1395,23,61,21,28,55,21,61,102,32,1973,33,82,21,39,73,21,82,107
23,1452,24,64,21,29,57,21,64,102,33,2031,34,84,21,40,75,21,84,108
24,1510,25,66,21,30,59,21,66,103,34,2089,34,86,21,41,77,21,86,108
25,1568,26,68,21,31,61,21,68,103,35,2146,35,88,21,42,78,21,88,109
26,1626,27,70,21,33,62,21,70,104,36,2204,36,90,21,43,80,21,90,109
27,1684,28,72,21,34,64,21,72,104,37,2262,37,91,21,44,82,21,91,110
28,1742,29,74,21,35,66,21,74,105,38,2320,38,93,21,46,84,21,93,110
29,1799,30,76,21,36,68,21,76,105,39,2378,39,95,21,47,85,21,95,111
3,295,7,17,20,8,16,20,17,93,13,874,15,42,20,18,38,20,42,97
30,1857,31,78,21,37,70,21,78,106,40,2436,40,97,21,48,87,21,97,112
31,1915,32,80,21,38,71,21,80,107,41,2494,41,99,22,49,89,22,99,112
32,1973,33,82,21,39,73,21,82,107,42,2552,42,101,22,50,91,22,101,113
33,2031,34,84,21,40,75,21,84,108,43,2610,43,103,22,51,92,22,103,113
34,2089,34,86,21,41,77,21,86,108,44,2667,45,105,22,52,94,22,105,114
35,2146,35,88,21,42,78,21,88,109,45,2725,46,107,22,53,96,22,107,115
36,2204,36,90,21,43,80,21,90,109,46,2783,47,109,22,54,97,22,109,115
37,2262,37,91,21,44,82,21,91,110,47,2841,48,110,22,55,99,22,110,116
38,2320,38,93,21,46,84,21,93,110,48,2899,49,112,22,56,101,22,112,116
39,2378,39,95,21,47,85,21,95,111,49,2957,50,114,22,57,102,22,114,117
4,353,8,20,20,9,18,20,20,93,14,932,16,44,20,20,40,20,44,98
40,2436,40,97,21,48,87,21,97,112,50,3015,51,116,22,59,104,22,116,118
41,2494,41,99,22,49,89,22,99,112,51,3072,52,118,22,60,106,22,118,118
42,2552,42,101,22,50,91,22,101,113,52,3130,53,120,22,61,107,22,120,119
43,2610,43,103,22,51,92,22,103,113,53,3188,54,121,22,62,109,22,121,119
5,411,9,23,20,10,20,20,23,93,15,990,17,46,20,21,42,20,46,98
50,3015,51,116,22,59,104,22,116,118,60,3593,61,134,23,69,120,23,134,124
51,3072,52,118,22,60,106,22,118,118,61,3651,62,136,23,70,122,23,136,124
52,3130,53,120,22,61,107,22,120,119,62,3709,63,138,23,71,123,23,138,125
6,469,9,25,20,11,23,20,25,94,16,1048,18,49,20,22,44,20,49,99
7,527,10,28,20,12,25,20,28,94,17,1105,19,51,20,23,46,20,51,99
8,584,11,30,20,13,27,20,30,95,18,1163,19,53,20,24,47,20,53,100
9,642,12,33,20,14,29,20,33,95,19,1221,20,55,20,25,49,20,55,100
