Sleep Blade (IV),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,18,0,89,0,0,0,0,0,0,41,0,89,0,0,0,0,0
,10,0,32,0,89,0,0,0,0,0,0,76,0,89,0,0,0,0,0
,15,0,39,0,89,0,0,0,0,0,0,98,0,89,0,0,0,0,0
,16,0,41,0,89,0,0,0,0,0,0,100,0,89,0,0,0,0,0
,17,0,42,0,89,0,0,0,0,0,0,101,0,89,0,0,0,0,0
,18,0,44,0,89,0,0,0,0,0,0,102,0,89,0,0,0,0,0
,19,0,45,0,89,0,0,0,0,0,0,104,0,89,0,0,0,0,0
,2,0,20,0,89,0,0,0,0,0,0,42,0,89,0,0,0,0,0
,20,0,46,0,89,0,0,0,0,0,0,120,0,89,0,0,0,0,0
,3,0,21,0,89,0,0,0,0,0,0,44,0,89,0,0,0,0,0
,4,0,23,0,89,0,0,0,0,0,0,45,0,89,0,0,0,0,0
,5,0,24,0,89,0,0,0,0,0,0,54,0,89,0,0,0,0,0
,6,0,26,0,89,0,0,0,0,0,0,55,0,89,0,0,0,0,0
,7,0,27,0,89,0,0,0,0,0,0,57,0,89,0,0,0,0,0
,8,0,29,0,89,0,0,0,0,0,0,58,0,89,0,0,0,0,0
,9,0,30,0,89,0,0,0,0,0,0,60,0,89,0,0,0,0,0
