Thunder Blade (VI),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,65,20,89,0,0,0,0,0,0,91,31,89,0,0,0,0,0
,11,0,83,27,89,0,0,0,0,0,0,134,48,89,0,0,0,0,0
,17,0,93,32,89,0,0,0,0,0,0,162,59,89,0,0,0,0,0
,18,0,95,32,89,0,0,0,0,0,0,164,60,89,0,0,0,0,0
,19,0,97,33,89,0,0,0,0,0,0,165,60,89,0,0,0,0,0
,2,0,67,21,89,0,0,0,0,0,0,93,32,89,0,0,0,0,0
,20,0,98,34,89,0,0,0,0,0,0,184,68,89,0,0,0,0,0
,3,0,69,22,89,0,0,0,0,0,0,95,32,89,0,0,0,0,0
,4,0,71,23,89,0,0,0,0,0,0,97,33,89,0,0,0,0,0
,5,0,72,23,89,0,0,0,0,0,0,107,37,89,0,0,0,0,0
,6,0,74,24,89,0,0,0,0,0,0,109,38,89,0,0,0,0,0
,7,0,76,25,89,0,0,0,0,0,0,110,38,89,0,0,0,0,0
,8,0,78,25,89,0,0,0,0,0,0,112,39,89,0,0,0,0,0
,9,0,79,26,89,0,0,0,0,0,0,114,40,89,0,0,0,0,0
