Zantetsuken (VI),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,71,0,95,0,0,0,0,0,0,97,0,95,0,0,0,0,0
,10,0,87,0,95,0,0,0,0,0,0,137,0,95,0,0,0,0,0
,11,0,88,0,95,0,0,0,0,0,0,139,0,95,0,0,0,0,0
,12,0,90,0,95,0,0,0,0,0,0,141,0,95,0,0,0,0,0
,13,0,92,0,95,0,0,0,0,0,0,142,0,95,0,0,0,0,0
,14,0,93,0,95,0,0,0,0,0,0,144,0,95,0,0,0,0,0
,15,0,95,0,95,0,0,0,0,0,0,163,0,95,0,0,0,0,0
,16,0,97,0,95,0,0,0,0,0,0,164,0,95,0,0,0,0,0
,17,0,99,0,95,0,0,0,0,0,0,166,0,95,0,0,0,0,0
,18,0,100,0,95,0,0,0,0,0,0,168,0,95,0,0,0,0,0
,19,0,102,0,95,0,0,0,0,0,0,169,0,95,0,0,0,0,0
,2,0,73,0,95,0,0,0,0,0,0,99,0,95,0,0,0,0,0
,20,0,104,0,95,0,0,0,0,0,0,188,0,95,0,0,0,0,0
,25,0,112,0,95,0,0,0,0,0,0,213,0,95,0,0,0,0,0
,3,0,75,0,95,0,0,0,0,0,0,100,0,95,0,0,0,0,0
,4,0,77,0,95,0,0,0,0,0,0,102,0,95,0,0,0,0,0
,5,0,78,0,95,0,0,0,0,0,0,112,0,95,0,0,0,0,0
,6,0,80,0,95,0,0,0,0,0,0,114,0,95,0,0,0,0,0
,7,0,82,0,95,0,0,0,0,0,0,115,0,95,0,0,0,0,0
,8,0,83,0,95,0,0,0,0,0,0,117,0,95,0,0,0,0,0
,9,0,85,0,95,0,0,0,0,0,0,119,0,95,0,0,0,0,0
