Wing Sword (II),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,42,0,89,0,0,0,0,0,0,67,0,89,0,0,0,0,0
,10,0,57,0,89,0,0,0,0,0,0,106,0,89,0,0,0,0,0
,11,0,59,0,89,0,0,0,0,0,0,107,0,89,0,0,0,0,0
,12,0,60,0,89,0,0,0,0,0,0,109,0,89,0,0,0,0,0
,13,0,62,0,89,0,0,0,0,0,0,111,0,89,0,0,0,0,0
,14,0,64,0,89,0,0,0,0,0,0,112,0,89,0,0,0,0,0
,15,0,65,0,89,0,0,0,0,0,0,130,0,89,0,0,0,0,0
,2,0,44,0,89,0,0,0,0,0,0,68,0,89,0,0,0,0,0
,25,0,81,0,89,0,0,0,0,0,0,179,0,89,0,0,0,0,0
,3,0,46,0,89,0,0,0,0,0,0,70,0,89,0,0,0,0,0
,4,0,47,0,89,0,0,0,0,0,0,72,0,89,0,0,0,0,0
,5,0,49,0,89,0,0,0,0,0,0,81,0,89,0,0,0,0,0
,6,0,51,0,89,0,0,0,0,0,0,83,0,89,0,0,0,0,0
,7,0,52,0,89,0,0,0,0,0,0,85,0,89,0,0,0,0,0
,8,0,54,0,89,0,0,0,0,0,0,86,0,89,0,0,0,0,0
,9,0,55,0,89,0,0,0,0,0,0,88,0,89,0,0,0,0,0
