Defender (I),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,46,0,92,0,0,0,0,0,0,70,0,92,0,0,0,0,0
,10,0,61,0,92,0,0,0,0,0,0,108,0,92,0,0,0,0,0
,15,0,69,0,92,0,0,0,0,0,0,132,0,92,0,0,0,0,0
,16,0,70,0,92,0,0,0,0,0,0,134,0,92,0,0,0,0,0
,17,0,72,0,92,0,0,0,0,0,0,135,0,92,0,0,0,0,0
,18,0,73,0,92,0,0,0,0,0,0,137,0,92,0,0,0,0,0
,19,0,75,0,92,0,0,0,0,0,0,138,0,92,0,0,0,0,0
,2,0,48,0,92,0,0,0,0,0,0,72,0,92,0,0,0,0,0
,20,0,77,0,92,0,0,0,0,0,0,156,0,92,0,0,0,0,0
,25,0,84,0,92,0,0,0,0,0,0,179,0,92,0,0,0,0,0
,3,0,50,0,92,0,0,0,0,0,0,73,0,92,0,0,0,0,0
,5,0,53,0,92,0,0,0,0,0,0,84,0,92,0,0,0,0,0
,6,0,54,0,92,0,0,0,0,0,0,86,0,92,0,0,0,0,0
,7,0,56,0,92,0,0,0,0,0,0,88,0,92,0,0,0,0,0
,8,0,58,0,92,0,0,0,0,0,0,89,0,92,0,0,0,0,0
,9,0,59,0,92,0,0,0,0,0,0,91,0,92,0,0,0,0,0
