Blazefire Saber (XIII),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,79,0,95,0,0,0,0,0,0,106,0,95,0,0,0,0,0
,10,0,96,0,95,0,0,0,0,0,0,149,0,95,0,0,0,0,0
,11,0,97,0,95,0,0,0,0,0,0,151,0,95,0,0,0,0,0
,12,0,99,0,95,0,0,0,0,0,0,153,0,95,0,0,0,0,0
,13,0,101,0,95,0,0,0,0,0,0,155,0,95,0,0,0,0,0
,14,0,103,0,95,0,0,0,0,0,0,157,0,95,0,0,0,0,0
,15,0,105,0,95,0,0,0,0,0,0,176,0,95,0,0,0,0,0
,16,0,106,0,95,0,0,0,0,0,0,178,0,95,0,0,0,0,0
,17,0,108,0,95,0,0,0,0,0,0,180,0,95,0,0,0,0,0
,18,0,110,0,95,0,0,0,0,0,0,182,0,95,0,0,0,0,0
,2,0,81,0,95,0,0,0,0,0,0,108,0,95,0,0,0,0,0
,20,0,114,0,95,0,0,0,0,0,0,203,0,95,0,0,0,0,0
,3,0,83,0,95,0,0,0,0,0,0,110,0,95,0,0,0,0,0
,4,0,85,0,95,0,0,0,0,0,0,112,0,95,0,0,0,0,0
,5,0,87,0,95,0,0,0,0,0,0,123,0,95,0,0,0,0,0
,6,0,88,0,95,0,0,0,0,0,0,124,0,95,0,0,0,0,0
,7,0,90,0,95,0,0,0,0,0,0,126,0,95,0,0,0,0,0
,8,0,92,0,95,0,0,0,0,0,0,128,0,95,0,0,0,0,0
,9,0,94,0,95,0,0,0,0,0,0,130,0,95,0,0,0,0,0
