Butterfly Edge (VII),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,74,0,95,0,0,0,0,0,0,100,0,95,0,0,0,0,0
,10,0,90,0,95,0,0,0,0,0,0,140,0,95,0,0,0,0,0
,11,0,91,0,95,0,0,0,0,0,0,142,0,95,0,0,0,0,0
,12,0,93,0,95,0,0,0,0,0,0,144,0,95,0,0,0,0,0
,13,0,95,0,95,0,0,0,0,0,0,145,0,95,0,0,0,0,0
,14,0,96,0,95,0,0,0,0,0,0,147,0,95,0,0,0,0,0
,15,0,98,0,95,0,0,0,0,0,0,166,0,95,0,0,0,0,0
,16,0,100,0,95,0,0,0,0,0,0,167,0,95,0,0,0,0,0
,17,0,102,0,95,0,0,0,0,0,0,169,0,95,0,0,0,0,0
,18,0,103,0,95,0,0,0,0,0,0,171,0,95,0,0,0,0,0
,19,0,105,0,95,0,0,0,0,0,0,172,0,95,0,0,0,0,0
,2,0,76,0,95,0,0,0,0,0,0,102,0,95,0,0,0,0,0
,20,0,107,0,95,0,0,0,0,0,0,191,0,95,0,0,0,0,0
,25,0,115,0,95,0,0,0,0,0,0,216,0,95,0,0,0,0,0
,3,0,78,0,95,0,0,0,0,0,0,103,0,95,0,0,0,0,0
,4,0,80,0,95,0,0,0,0,0,0,105,0,95,0,0,0,0,0
,5,0,81,0,95,0,0,0,0,0,0,115,0,95,0,0,0,0,0
,6,0,83,0,95,0,0,0,0,0,0,117,0,95,0,0,0,0,0
,7,0,85,0,95,0,0,0,0,0,0,118,0,95,0,0,0,0,0
,8,0,86,0,95,0,0,0,0,0,0,120,0,95,0,0,0,0,0
,9,0,88,0,95,0,0,0,0,0,0,122,0,95,0,0,0,0,0
