Rune Axe (V),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,46,3,92,0,0,0,0,0,0,72,3,92,0,0,0,0,0
,10,0,62,3,92,0,0,0,0,0,0,113,3,92,0,0,0,0,0
,11,0,64,3,92,0,0,0,0,0,0,115,3,92,0,0,0,0,0
,12,0,65,3,92,0,0,0,0,0,0,117,3,92,0,0,0,0,0
,13,0,67,3,92,0,0,0,0,0,0,118,3,92,0,0,0,0,0
,14,0,69,3,92,0,0,0,0,0,0,120,3,92,0,0,0,0,0
,15,0,70,3,92,0,0,0,0,0,0,139,3,92,0,0,0,0,0
,2,0,48,3,92,0,0,0,0,0,0,74,3,92,0,0,0,0,0
,25,0,87,3,92,0,0,0,0,0,0,190,3,92,0,0,0,0,0
,3,0,50,3,92,0,0,0,0,0,0,76,3,92,0,0,0,0,0
,5,0,53,3,92,0,0,0,0,0,0,87,3,92,0,0,0,0,0
,6,0,55,3,92,0,0,0,0,0,0,89,3,92,0,0,0,0,0
,7,0,57,3,92,0,0,0,0,0,0,91,3,92,0,0,0,0,0
,8,0,58,3,92,0,0,0,0,0,0,93,3,92,0,0,0,0,0
,9,0,60,3,92,0,0,0,0,0,0,94,3,92,0,0,0,0,0
