Giant's Axe (V),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,47,0,92,0,0,0,0,0,0,74,0,92,0,0,0,0,0
,10,0,64,0,92,0,0,0,0,0,0,117,0,92,0,0,0,0,0
,11,0,65,0,92,0,0,0,0,0,0,119,0,92,0,0,0,0,0
,12,0,67,0,92,0,0,0,0,0,0,121,0,92,0,0,0,0,0
,13,0,69,0,92,0,0,0,0,0,0,123,0,92,0,0,0,0,0
,14,0,71,0,92,0,0,0,0,0,0,125,0,92,0,0,0,0,0
,15,0,73,0,92,0,0,0,0,0,0,144,0,92,0,0,0,0,0
,2,0,49,0,92,0,0,0,0,0,0,76,0,92,0,0,0,0,0
,25,0,90,0,92,0,0,0,0,0,0,198,0,92,0,0,0,0,0
,3,0,51,0,92,0,0,0,0,0,0,78,0,92,0,0,0,0,0
,4,0,53,0,92,0,0,0,0,0,0,80,0,92,0,0,0,0,0
,5,0,55,0,92,0,0,0,0,0,0,90,0,92,0,0,0,0,0
,6,0,56,0,92,0,0,0,0,0,0,92,0,92,0,0,0,0,0
,7,0,58,0,92,0,0,0,0,0,0,94,0,92,0,0,0,0,0
,8,0,60,0,92,0,0,0,0,0,0,96,0,92,0,0,0,0,0
,9,0,62,0,92,0,0,0,0,0,0,98,0,92,0,0,0,0,0
