Javelin (V),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,21,0,89,0,0,0,0,0,0,44,0,89,0,0,0,0,0
,10,0,35,0,89,0,0,0,0,0,0,81,0,89,0,0,0,0,0
,2,0,23,0,89,0,0,0,0,0,0,46,0,89,0,0,0,0,0
,3,0,25,0,89,0,0,0,0,0,0,47,0,89,0,0,0,0,0
,4,0,26,0,89,0,0,0,0,0,0,49,0,89,0,0,0,0,0
,5,0,28,0,89,0,0,0,0,0,0,58,0,89,0,0,0,0,0
,6,0,29,0,89,0,0,0,0,0,0,60,0,89,0,0,0,0,0
,7,0,31,0,89,0,0,0,0,0,0,61,0,89,0,0,0,0,0
,8,0,32,0,89,0,0,0,0,0,0,63,0,89,0,0,0,0,0
,9,0,34,0,89,0,0,0,0,0,0,64,0,89,0,0,0,0,0
