Partisan (VI),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,79,0,95,0,0,0,0,0,0,105,0,95,0,0,0,0,0
,15,0,103,0,95,0,0,0,0,0,0,171,0,95,0,0,0,0,0
,16,0,105,0,95,0,0,0,0,0,0,172,0,95,0,0,0,0,0
,17,0,107,0,95,0,0,0,0,0,0,174,0,95,0,0,0,0,0
,18,0,108,0,95,0,0,0,0,0,0,176,0,95,0,0,0,0,0
,19,0,110,0,95,0,0,0,0,0,0,177,0,95,0,0,0,0,0
,20,0,112,0,95,0,0,0,0,0,0,196,0,95,0,0,0,0,0
,21,0,113,0,95,0,0,0,0,0,0,198,0,95,0,0,0,0,0
,22,0,115,0,95,0,0,0,0,0,0,199,0,95,0,0,0,0,0
,23,0,117,0,95,0,0,0,0,0,0,201,0,95,0,0,0,0,0
,24,0,118,0,95,0,0,0,0,0,0,203,0,95,0,0,0,0,0
,25,0,120,0,95,0,0,0,0,0,0,221,0,95,0,0,0,0,0
