Kaiser Knuckles (XIII),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,66,0,95,0,0,0,0,0,0,89,0,95,0,0,0,0,0
,10,0,80,0,95,0,0,0,0,0,0,126,0,95,0,0,0,0,0
,11,0,82,0,95,0,0,0,0,0,0,127,0,95,0,0,0,0,0
,12,0,83,0,95,0,0,0,0,0,0,129,0,95,0,0,0,0,0
,13,0,85,0,95,0,0,0,0,0,0,130,0,95,0,0,0,0,0
,14,0,86,0,95,0,0,0,0,0,0,132,0,95,0,0,0,0,0
,15,0,88,0,95,0,0,0,0,0,0,148,0,95,0,0,0,0,0
,19,0,94,0,95,0,0,0,0,0,0,154,0,95,0,0,0,0,0
,2,0,68,0,95,0,0,0,0,0,0,91,0,95,0,0,0,0,0
,20,0,95,0,95,0,0,0,0,0,0,171,0,95,0,0,0,0,0
,21,0,97,0,95,0,0,0,0,0,0,173,0,95,0,0,0,0,0
,22,0,98,0,95,0,0,0,0,0,0,174,0,95,0,0,0,0,0
,23,0,100,0,95,0,0,0,0,0,0,176,0,95,0,0,0,0,0
,24,0,101,0,95,0,0,0,0,0,0,177,0,95,0,0,0,0,0
,25,0,103,0,95,0,0,0,0,0,0,194,0,95,0,0,0,0,0
,3,0,70,0,95,0,0,0,0,0,0,92,0,95,0,0,0,0,0
,4,0,71,0,95,0,0,0,0,0,0,94,0,95,0,0,0,0,0
,5,0,73,0,95,0,0,0,0,0,0,103,0,95,0,0,0,0,0
,6,0,74,0,95,0,0,0,0,0,0,104,0,95,0,0,0,0,0
,7,0,76,0,95,0,0,0,0,0,0,106,0,95,0,0,0,0,0
,8,0,77,0,95,0,0,0,0,0,0,107,0,95,0,0,0,0,0
,9,0,79,0,95,0,0,0,0,0,0,109,0,95,0,0,0,0,0
