Power Glove (XIII),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,38,0,92,0,0,0,0,0,0,60,0,92,0,0,0,0,0
,10,0,52,0,92,0,0,0,0,0,0,95,0,92,0,0,0,0,0
,11,0,53,0,92,0,0,0,0,0,0,97,0,92,0,0,0,0,0
,12,0,55,0,92,0,0,0,0,0,0,98,0,92,0,0,0,0,0
,13,0,56,0,92,0,0,0,0,0,0,100,0,92,0,0,0,0,0
,14,0,57,0,92,0,0,0,0,0,0,101,0,92,0,0,0,0,0
,15,0,59,0,92,0,0,0,0,0,0,117,0,92,0,0,0,0,0
,2,0,40,0,92,0,0,0,0,0,0,62,0,92,0,0,0,0,0
,20,0,66,0,92,0,0,0,0,0,0,139,0,92,0,0,0,0,0
,25,0,73,0,92,0,0,0,0,0,0,161,0,92,0,0,0,0,0
,3,0,41,0,92,0,0,0,0,0,0,63,0,92,0,0,0,0,0
,4,0,43,0,92,0,0,0,0,0,0,65,0,92,0,0,0,0,0
,5,0,44,0,92,0,0,0,0,0,0,73,0,92,0,0,0,0,0
,6,0,46,0,92,0,0,0,0,0,0,75,0,92,0,0,0,0,0
,7,0,47,0,92,0,0,0,0,0,0,76,0,92,0,0,0,0,0
,8,0,49,0,92,0,0,0,0,0,0,78,0,92,0,0,0,0,0
,9,0,50,0,92,0,0,0,0,0,0,79,0,92,0,0,0,0,0
