Kaiser Knuckles (VI),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,75,0,95,0,0,0,0,0,0,101,0,95,0,0,0,0,0
,13,0,96,0,95,0,0,0,0,0,0,146,0,95,0,0,0,0,0
,14,0,97,0,95,0,0,0,0,0,0,148,0,95,0,0,0,0,0
,15,0,99,0,95,0,0,0,0,0,0,167,0,95,0,0,0,0,0
,16,0,101,0,95,0,0,0,0,0,0,168,0,95,0,0,0,0,0
,17,0,103,0,95,0,0,0,0,0,0,170,0,95,0,0,0,0,0
,18,0,104,0,95,0,0,0,0,0,0,172,0,95,0,0,0,0,0
,19,0,106,0,95,0,0,0,0,0,0,173,0,95,0,0,0,0,0
,2,0,77,0,95,0,0,0,0,0,0,103,0,95,0,0,0,0,0
,20,0,108,0,95,0,0,0,0,0,0,192,0,95,0,0,0,0,0
,3,0,79,0,95,0,0,0,0,0,0,104,0,95,0,0,0,0,0
