Flame Rod (V),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,6,19,89,0,0,0,10,0,0,14,42,89,0,0,0,22,0
,10,0,11,33,89,0,0,0,17,0,0,25,79,89,0,0,0,39,0
,2,0,7,21,89,0,0,0,11,0,0,14,44,89,0,0,0,22,0
,3,0,7,23,89,0,0,0,12,0,0,15,45,89,0,0,0,23,0
,4,0,8,24,89,0,0,0,13,0,0,15,47,89,0,0,0,24,0
,5,0,8,26,89,0,0,0,13,0,0,18,56,89,0,0,0,28,0
,6,0,9,27,89,0,0,0,14,0,0,18,58,89,0,0,0,29,0
,7,0,9,29,89,0,0,0,15,0,0,19,59,89,0,0,0,30,0
,8,0,10,30,89,0,0,0,16,0,0,19,61,89,0,0,0,30,0
,9,0,10,32,89,0,0,0,16,0,0,20,62,89,0,0,0,31,0
