Full Metal Staff (VII),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,25,77,95,0,0,0,39,0,0,33,104,95,0,0,0,52,0
,10,0,30,93,95,0,0,0,47,0,0,44,146,95,0,0,0,73,0
,11,0,30,95,95,0,0,0,48,0,0,45,148,95,0,0,0,74,0
,12,0,31,97,95,0,0,0,49,0,0,45,150,95,0,0,0,75,0
,13,0,31,99,95,0,0,0,50,0,0,46,151,95,0,0,0,76,0
,14,0,32,100,95,0,0,0,51,0,0,46,153,95,0,0,0,77,0
,15,0,32,102,95,0,0,0,52,0,0,52,172,95,0,0,0,86,0
,16,0,33,104,95,0,0,0,52,0,0,52,174,95,0,0,0,87,0
,17,0,33,106,95,0,0,0,53,0,0,53,176,95,0,0,0,88,0
,18,0,34,107,95,0,0,0,54,0,0,53,178,95,0,0,0,89,0
,19,0,34,109,95,0,0,0,55,0,0,53,179,95,0,0,0,89,0
,2,0,26,79,95,0,0,0,40,0,0,33,106,95,0,0,0,53,0
,20,0,35,111,95,0,0,0,56,0,0,59,199,95,0,0,0,99,0
,3,0,26,81,95,0,0,0,41,0,0,34,107,95,0,0,0,54,0
,4,0,27,83,95,0,0,0,42,0,0,34,109,95,0,0,0,55,0
,5,0,27,85,95,0,0,0,43,0,0,37,120,95,0,0,0,60,0
,6,0,28,86,95,0,0,0,44,0,0,38,121,95,0,0,0,61,0
,7,0,28,88,95,0,0,0,45,0,0,38,123,95,0,0,0,62,0
,8,0,29,90,95,0,0,0,46,0,0,39,125,95,0,0,0,63,0
,9,0,29,92,95,0,0,0,46,0,0,39,127,95,0,0,0,64,0
