Hunter's Rod (XIII),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,28,69,95,0,0,0,47,0,0,43,93,95,0,0,0,61,0
,10,0,37,84,95,0,0,0,56,0,0,67,131,95,0,0,0,84,0
,11,0,38,85,95,0,0,0,57,0,0,68,133,95,0,0,0,85,0
,12,0,39,87,95,0,0,0,58,0,0,69,135,95,0,0,0,86,0
,13,0,40,89,95,0,0,0,59,0,0,70,136,95,0,0,0,87,0
,14,0,41,90,95,0,0,0,60,0,0,71,138,95,0,0,0,88,0
,15,0,42,92,95,0,0,0,61,0,0,82,155,95,0,0,0,98,0
,16,0,43,93,95,0,0,0,61,0,0,83,157,95,0,0,0,99,0
,17,0,44,95,95,0,0,0,62,0,0,84,158,95,0,0,0,100,0
,18,0,45,96,95,0,0,0,63,0,0,85,160,95,0,0,0,101,0
,19,0,46,98,95,0,0,0,64,0,0,86,161,95,0,0,0,101,0
,2,0,29,71,95,0,0,0,48,0,0,44,95,95,0,0,0,62,0
,20,0,47,100,95,0,0,0,65,0,0,97,179,95,0,0,0,112,0
,3,0,30,73,95,0,0,0,49,0,0,45,96,95,0,0,0,63,0
,4,0,31,74,95,0,0,0,50,0,0,46,98,95,0,0,0,64,0
,5,0,32,76,95,0,0,0,51,0,0,52,108,95,0,0,0,70,0
,6,0,33,77,95,0,0,0,52,0,0,53,109,95,0,0,0,71,0
,7,0,34,79,95,0,0,0,53,0,0,54,111,95,0,0,0,72,0
,8,0,35,81,95,0,0,0,54,0,0,55,112,95,0,0,0,73,0
,9,0,36,82,95,0,0,0,55,0,0,56,114,95,0,0,0,74,0
