Judgment Staff (V),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,23,38,95,0,0,0,76,0,0,31,51,95,0,0,0,102,0
,10,0,28,46,95,0,0,0,92,0,0,44,72,95,0,0,0,144,0
,11,0,29,47,95,0,0,0,94,0,0,44,73,95,0,0,0,145,0
,12,0,29,48,95,0,0,0,95,0,0,45,74,95,0,0,0,147,0
,13,0,30,49,95,0,0,0,97,0,0,45,75,95,0,0,0,149,0
,14,0,30,50,95,0,0,0,99,0,0,46,76,95,0,0,0,151,0
,15,0,31,51,95,0,0,0,101,0,0,51,85,95,0,0,0,170,0
,16,0,31,51,95,0,0,0,102,0,0,52,86,95,0,0,0,171,0
,17,0,32,52,95,0,0,0,104,0,0,52,87,95,0,0,0,173,0
,18,0,32,53,95,0,0,0,106,0,0,53,88,95,0,0,0,175,0
,19,0,33,54,95,0,0,0,108,0,0,53,88,95,0,0,0,176,0
,2,0,24,39,95,0,0,0,78,0,0,32,52,95,0,0,0,104,0
,20,0,33,55,95,0,0,0,109,0,0,59,98,95,0,0,0,195,0
,3,0,25,40,95,0,0,0,80,0,0,32,53,95,0,0,0,106,0
,4,0,25,41,95,0,0,0,82,0,0,33,54,95,0,0,0,108,0
,5,0,26,42,95,0,0,0,83,0,0,36,59,95,0,0,0,118,0
,6,0,26,43,95,0,0,0,85,0,0,36,60,95,0,0,0,120,0
,7,0,27,44,95,0,0,0,87,0,0,37,61,95,0,0,0,121,0
,8,0,27,45,95,0,0,0,89,0,0,37,62,95,0,0,0,123,0
,9,0,28,45,95,0,0,0,90,0,0,38,63,95,0,0,0,125,0
