Hayate Bow (V),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,34,13,92,0,0,0,13,0,0,54,21,92,0,0,0,21,0
,10,0,46,18,92,0,0,0,18,0,0,85,33,92,0,0,0,33,0
,11,0,47,18,92,0,0,0,18,0,0,86,33,92,0,0,0,33,0
,12,0,49,19,92,0,0,0,19,0,0,87,34,92,0,0,0,34,0
,13,0,50,19,92,0,0,0,19,0,0,89,34,92,0,0,0,34,0
,14,0,51,20,92,0,0,0,20,0,0,90,35,92,0,0,0,35,0
,15,0,53,20,92,0,0,0,20,0,0,104,40,92,0,0,0,40,0
,2,0,36,14,92,0,0,0,14,0,0,55,21,92,0,0,0,21,0
,20,0,59,23,92,0,0,0,23,0,0,124,48,92,0,0,0,48,0
,25,0,65,25,92,0,0,0,25,0,0,143,55,92,0,0,0,55,0
,3,0,37,14,92,0,0,0,14,0,0,56,22,92,0,0,0,22,0
,4,0,38,15,92,0,0,0,15,0,0,58,22,92,0,0,0,22,0
,5,0,40,15,92,0,0,0,15,0,0,65,25,92,0,0,0,25,0
,6,0,41,16,92,0,0,0,16,0,0,67,26,92,0,0,0,26,0
,7,0,42,16,92,0,0,0,16,0,0,68,26,92,0,0,0,26,0
,8,0,44,17,92,0,0,0,17,0,0,69,27,92,0,0,0,27,0
,9,0,45,17,92,0,0,0,17,0,0,71,27,92,0,0,0,27,0
