Madhura Harp (III),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,26,17,92,0,0,0,17,0,0,41,27,92,0,0,0,27,0
,10,0,35,23,92,0,0,0,23,0,0,64,43,92,0,0,0,43,0
,11,0,36,24,92,0,0,0,24,0,0,65,44,92,0,0,0,44,0
,12,0,37,25,92,0,0,0,25,0,0,66,45,92,0,0,0,45,0
,13,0,38,25,92,0,0,0,25,0,0,67,45,92,0,0,0,45,0
,14,0,39,26,92,0,0,0,26,0,0,68,46,92,0,0,0,46,0
,15,0,40,27,92,0,0,0,27,0,0,78,53,92,0,0,0,53,0
,2,0,27,18,92,0,0,0,18,0,0,42,28,92,0,0,0,28,0
,3,0,28,19,92,0,0,0,19,0,0,43,29,92,0,0,0,29,0
,4,0,29,19,92,0,0,0,19,0,0,44,29,92,0,0,0,29,0
,5,0,30,20,92,0,0,0,20,0,0,49,33,92,0,0,0,33,0
,6,0,31,21,92,0,0,0,21,0,0,50,34,92,0,0,0,34,0
,7,0,32,21,92,0,0,0,21,0,0,51,35,92,0,0,0,35,0
,8,0,33,22,92,0,0,0,22,0,0,52,35,92,0,0,0,35,0
,9,0,34,23,92,0,0,0,23,0,0,53,36,92,0,0,0,36,0
