Hawkeye (VI),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,65,0,92,0,0,0,0,0,0,89,0,92,0,0,0,0,0
,10,0,79,0,92,0,0,0,0,0,0,126,0,92,0,0,0,0,0
,11,0,81,0,92,0,0,0,0,0,0,128,0,92,0,0,0,0,0
,12,0,83,0,92,0,0,0,0,0,0,129,0,92,0,0,0,0,0
,13,0,84,0,92,0,0,0,0,0,0,131,0,92,0,0,0,0,0
,14,0,86,0,92,0,0,0,0,0,0,132,0,92,0,0,0,0,0
,15,0,87,0,92,0,0,0,0,0,0,149,0,92,0,0,0,0,0
,16,0,89,0,92,0,0,0,0,0,0,151,0,92,0,0,0,0,0
,17,0,90,0,92,0,0,0,0,0,0,152,0,92,0,0,0,0,0
,18,0,92,0,92,0,0,0,0,0,0,154,0,92,0,0,0,0,0
,19,0,93,0,92,0,0,0,0,0,0,155,0,92,0,0,0,0,0
,2,0,67,0,92,0,0,0,0,0,0,90,0,92,0,0,0,0,0
,20,0,95,0,92,0,0,0,0,0,0,173,0,92,0,0,0,0,0
,21,0,97,0,92,0,0,0,0,0,0,174,0,92,0,0,0,0,0
,22,0,98,0,92,0,0,0,0,0,0,176,0,92,0,0,0,0,0
,23,0,100,0,92,0,0,0,0,0,0,177,0,92,0,0,0,0,0
,24,0,101,0,92,0,0,0,0,0,0,179,0,92,0,0,0,0,0
,25,0,103,0,92,0,0,0,0,0,0,196,0,92,0,0,0,0,0
,3,0,69,0,92,0,0,0,0,0,0,92,0,92,0,0,0,0,0
,4,0,70,0,92,0,0,0,0,0,0,93,0,92,0,0,0,0,0
,5,0,72,0,92,0,0,0,0,0,0,103,0,92,0,0,0,0,0
,6,0,73,0,92,0,0,0,0,0,0,104,0,92,0,0,0,0,0
,7,0,75,0,92,0,0,0,0,0,0,106,0,92,0,0,0,0,0
,8,0,76,0,92,0,0,0,0,0,0,107,0,92,0,0,0,0,0
,9,0,78,0,92,0,0,0,0,0,0,109,0,92,0,0,0,0,0
