Vega 42s (XIII),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,67,0,95,0,0,0,0,0,0,92,0,95,0,0,0,0,0
,10,0,82,0,95,0,0,0,0,0,0,131,0,95,0,0,0,0,0
,11,0,84,0,95,0,0,0,0,0,0,132,0,95,0,0,0,0,0
,12,0,85,0,95,0,0,0,0,0,0,134,0,95,0,0,0,0,0
,13,0,87,0,95,0,0,0,0,0,0,136,0,95,0,0,0,0,0
,14,0,89,0,95,0,0,0,0,0,0,137,0,95,0,0,0,0,0
,15,0,90,0,95,0,0,0,0,0,0,155,0,95,0,0,0,0,0
,16,0,92,0,95,0,0,0,0,0,0,157,0,95,0,0,0,0,0
,17,0,93,0,95,0,0,0,0,0,0,158,0,95,0,0,0,0,0
,18,0,95,0,95,0,0,0,0,0,0,160,0,95,0,0,0,0,0
,19,0,97,0,95,0,0,0,0,0,0,161,0,95,0,0,0,0,0
,2,0,69,0,95,0,0,0,0,0,0,93,0,95,0,0,0,0,0
,20,0,98,0,95,0,0,0,0,0,0,179,0,95,0,0,0,0,0
,3,0,71,0,95,0,0,0,0,0,0,95,0,95,0,0,0,0,0
,4,0,72,0,95,0,0,0,0,0,0,97,0,95,0,0,0,0,0
,5,0,74,0,95,0,0,0,0,0,0,106,0,95,0,0,0,0,0
,6,0,76,0,95,0,0,0,0,0,0,108,0,95,0,0,0,0,0
,7,0,77,0,95,0,0,0,0,0,0,110,0,95,0,0,0,0,0
,8,0,79,0,95,0,0,0,0,0,0,111,0,95,0,0,0,0,0
,9,0,80,0,95,0,0,0,0,0,0,113,0,95,0,0,0,0,0
