PSICOM Rifle (XIII),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,18,0,89,0,0,0,0,0,0,39,0,89,0,0,0,0,0
,10,0,31,0,89,0,0,0,0,0,0,72,0,89,0,0,0,0,0
,11,0,32,0,89,0,0,0,0,0,0,73,0,89,0,0,0,0,0
,12,0,34,0,89,0,0,0,0,0,0,75,0,89,0,0,0,0,0
,13,0,35,0,89,0,0,0,0,0,0,76,0,89,0,0,0,0,0
,14,0,36,0,89,0,0,0,0,0,0,77,0,89,0,0,0,0,0
,15,0,38,0,89,0,0,0,0,0,0,92,0,89,0,0,0,0,0
,2,0,20,0,89,0,0,0,0,0,0,40,0,89,0,0,0,0,0
,3,0,21,0,89,0,0,0,0,0,0,42,0,89,0,0,0,0,0
,4,0,23,0,89,0,0,0,0,0,0,43,0,89,0,0,0,0,0
,5,0,24,0,89,0,0,0,0,0,0,51,0,89,0,0,0,0,0
,6,0,25,0,89,0,0,0,0,0,0,53,0,89,0,0,0,0,0
,7,0,27,0,89,0,0,0,0,0,0,54,0,89,0,0,0,0,0
,8,0,28,0,89,0,0,0,0,0,0,55,0,89,0,0,0,0,0
,9,0,29,0,89,0,0,0,0,0,0,57,0,89,0,0,0,0,0
