Mythril Clip (VII),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,13,19,89,0,0,0,0,0,0,27,40,89,0,0,0,0,0
,10,0,22,32,89,0,0,0,0,0,0,48,73,89,0,0,0,0,0
,11,0,22,33,89,0,0,0,0,0,0,49,74,89,0,0,0,0,0
,12,0,23,35,89,0,0,0,0,0,0,50,76,89,0,0,0,0,0
,13,0,24,36,89,0,0,0,0,0,0,51,77,89,0,0,0,0,0
,14,0,25,37,89,0,0,0,0,0,0,52,78,89,0,0,0,0,0
,15,0,26,39,89,0,0,0,0,0,0,62,93,89,0,0,0,0,0
,16,0,27,40,89,0,0,0,0,0,0,63,95,89,0,0,0,0,0
,17,0,28,41,89,0,0,0,0,0,0,64,96,89,0,0,0,0,0
,18,0,29,43,89,0,0,0,0,0,0,64,97,89,0,0,0,0,0
,19,0,30,44,89,0,0,0,0,0,0,65,99,89,0,0,0,0,0
,2,0,14,21,89,0,0,0,0,0,0,28,41,89,0,0,0,0,0
,20,0,30,45,89,0,0,0,0,0,0,75,114,89,0,0,0,0,0
,3,0,15,22,89,0,0,0,0,0,0,29,43,89,0,0,0,0,0
,4,0,16,24,89,0,0,0,0,0,0,30,44,89,0,0,0,0,0
,5,0,17,25,89,0,0,0,0,0,0,35,52,89,0,0,0,0,0
,6,0,18,26,89,0,0,0,0,0,0,36,54,89,0,0,0,0,0
,7,0,19,28,89,0,0,0,0,0,0,37,55,89,0,0,0,0,0
,8,0,20,29,89,0,0,0,0,0,0,38,56,89,0,0,0,0,0
,9,0,21,30,89,0,0,0,0,0,0,39,58,89,0,0,0,0,0
