Silver Barrette (VII),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,60,77,95,0,0,0,0,0,0,79,103,95,0,0,0,0,0
,10,0,71,93,95,0,0,0,0,0,0,108,145,95,0,0,0,0,0
,11,0,73,95,95,0,0,0,0,0,0,109,146,95,0,0,0,0,0
,12,0,74,96,95,0,0,0,0,0,0,110,148,95,0,0,0,0,0
,13,0,75,98,95,0,0,0,0,0,0,111,150,95,0,0,0,0,0
,14,0,76,100,95,0,0,0,0,0,0,112,152,95,0,0,0,0,0
,15,0,77,102,95,0,0,0,0,0,0,126,171,95,0,0,0,0,0
,16,0,79,103,95,0,0,0,0,0,0,127,172,95,0,0,0,0,0
,17,0,80,105,95,0,0,0,0,0,0,128,174,95,0,0,0,0,0
,18,0,81,107,95,0,0,0,0,0,0,129,176,95,0,0,0,0,0
,19,0,82,109,95,0,0,0,0,0,0,130,177,95,0,0,0,0,0
,2,0,62,79,95,0,0,0,0,0,0,80,105,95,0,0,0,0,0
,20,0,83,110,95,0,0,0,0,0,0,144,196,95,0,0,0,0,0
,3,0,63,81,95,0,0,0,0,0,0,81,107,95,0,0,0,0,0
,4,0,64,83,95,0,0,0,0,0,0,82,109,95,0,0,0,0,0
,5,0,65,84,95,0,0,0,0,0,0,89,119,95,0,0,0,0,0
,6,0,67,86,95,0,0,0,0,0,0,91,121,95,0,0,0,0,0
,7,0,68,88,95,0,0,0,0,0,0,92,122,95,0,0,0,0,0
,8,0,69,90,95,0,0,0,0,0,0,93,124,95,0,0,0,0,0
,9,0,70,91,95,0,0,0,0,0,0,94,126,95,0,0,0,0,0
