Genji Shield (IV),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,0,0,0,62,39,108,0,0,0,0,0,0,83,52,108,0,0
,10,0,0,0,0,75,47,108,0,0,0,0,0,0,116,73,108,0,0
,11,0,0,0,0,76,48,108,0,0,0,0,0,0,118,74,108,0,0
,12,0,0,0,0,78,49,108,0,0,0,0,0,0,119,75,108,0,0
,13,0,0,0,0,79,50,108,0,0,0,0,0,0,120,76,108,0,0
,14,0,0,0,0,80,51,108,0,0,0,0,0,0,122,77,108,0,0
,15,0,0,0,0,82,52,108,0,0,0,0,0,0,137,86,108,0,0
,16,0,0,0,0,83,52,108,0,0,0,0,0,0,138,87,108,0,0
,17,0,0,0,0,85,53,108,0,0,0,0,0,0,140,88,108,0,0
,18,0,0,0,0,86,54,108,0,0,0,0,0,0,141,89,108,0,0
,19,0,0,0,0,87,55,108,0,0,0,0,0,0,142,89,108,0,0
,2,0,0,0,0,64,40,108,0,0,0,0,0,0,85,53,108,0,0
,20,0,0,0,0,89,56,108,0,0,0,0,0,0,158,99,108,0,0
,25,0,0,0,0,96,60,108,0,0,0,0,0,0,178,112,108,0,0
,3,0,0,0,0,65,41,108,0,0,0,0,0,0,86,54,108,0,0
,4,0,0,0,0,67,42,108,0,0,0,0,0,0,87,55,108,0,0
,5,0,0,0,0,68,43,108,0,0,0,0,0,0,96,60,108,0,0
,6,0,0,0,0,69,44,108,0,0,0,0,0,0,97,61,108,0,0
,7,0,0,0,0,71,45,108,0,0,0,0,0,0,98,62,108,0,0
,8,0,0,0,0,72,46,108,0,0,0,0,0,0,100,63,108,0,0
,9,0,0,0,0,74,46,108,0,0,0,0,0,0,101,64,108,0,0
