Lamia's Tiara (V),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,0,6,0,11,21,99,5,0,0,0,11,0,23,46,99,10,0
,10,0,0,9,0,19,36,99,8,0,0,0,19,0,42,85,99,18,0
,2,0,0,7,0,12,23,99,6,0,0,0,12,0,24,48,99,11,0
,20,0,0,12,0,26,52,99,11,0,0,0,28,0,66,134,99,27,0
,3,0,0,7,0,13,25,99,6,0,0,0,12,0,25,49,99,11,0
,4,0,0,7,0,14,26,99,6,0,0,0,12,0,26,51,99,11,0
,5,0,0,8,0,15,28,99,7,0,0,0,14,0,30,61,99,13,0
,6,0,0,8,0,15,30,99,7,0,0,0,14,0,31,62,99,13,0
,7,0,0,8,0,16,31,99,7,0,0,0,15,0,32,64,99,14,0
,8,0,0,9,0,17,33,99,8,0,0,0,15,0,33,66,99,14,0
,9,0,0,9,0,18,35,99,8,0,0,0,15,0,34,67,99,14,0
