Ten-gallon Hat (VIII),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,0,10,0,20,43,102,9,0,0,0,16,0,33,67,102,14,0
,10,0,0,14,0,28,58,102,12,0,0,0,25,0,53,105,102,22,0
,11,0,0,14,0,29,59,102,13,0,0,0,25,0,54,107,102,23,0
,12,0,0,15,0,30,61,102,13,0,0,0,26,0,55,108,102,23,0
,13,0,0,15,0,30,62,102,13,0,0,0,26,0,55,110,102,23,0
,14,0,0,15,0,31,64,102,14,0,0,0,27,0,56,112,102,24,0
,15,0,0,16,0,32,66,102,14,0,0,0,31,0,65,129,102,27,0
,16,0,0,16,0,33,67,102,14,0,0,0,31,0,66,131,102,28,0
,17,0,0,16,0,34,69,102,15,0,0,0,31,0,67,132,102,28,0
,18,0,0,17,0,35,70,102,15,0,0,0,32,0,68,134,102,28,0
,19,0,0,17,0,35,72,102,15,0,0,0,32,0,69,135,102,29,0
,2,0,0,11,0,21,45,102,10,0,0,0,16,0,34,69,102,15,0
,20,0,0,18,0,36,74,102,16,0,0,0,36,0,78,153,102,32,0
,3,0,0,11,0,22,47,102,10,0,0,0,17,0,35,70,102,15,0
,4,0,0,12,0,23,48,102,10,0,0,0,17,0,35,72,102,15,0
,5,0,0,12,0,24,50,102,11,0,0,0,19,0,40,81,102,17,0
,6,0,0,12,0,25,51,102,11,0,0,0,20,0,41,83,102,18,0
,7,0,0,13,0,25,53,102,11,0,0,0,20,0,42,85,102,18,0
,8,0,0,13,0,26,55,102,12,0,0,0,21,0,43,86,102,18,0
,9,0,0,13,0,27,56,102,12,0,0,0,21,0,44,88,102,19,0
