Galbadian Helmet (VIII),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,0,3,0,7,12,96,5,0,0,0,9,0,20,38,96,12,0
,10,0,0,7,0,15,28,96,9,0,0,0,17,0,41,79,96,22,0
,2,0,0,4,0,8,14,96,6,0,0,0,9,0,21,40,96,12,0
,3,0,0,4,0,9,16,96,6,0,0,0,10,0,22,42,96,13,0
,4,0,0,5,0,10,18,96,7,0,0,0,10,0,23,43,96,13,0
,5,0,0,5,0,11,19,96,7,0,0,0,12,0,28,54,96,16,0
,6,0,0,5,0,12,21,96,8,0,0,0,12,0,29,55,96,16,0
,7,0,0,6,0,13,23,96,8,0,0,0,13,0,30,57,96,17,0
,8,0,0,6,0,13,24,96,8,0,0,0,13,0,31,59,96,17,0
,9,0,0,6,0,14,26,96,9,0,0,0,13,0,31,60,96,17,0
