Genji Helm (V),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,8,0,0,69,62,105,0,0,0,11,0,0,93,83,105,0,0
,10,0,10,0,0,83,75,105,0,0,0,15,0,0,130,116,105,0,0
,11,0,10,0,0,85,76,105,0,0,0,15,0,0,132,118,105,0,0
,12,0,10,0,0,87,78,105,0,0,0,16,0,0,133,119,105,0,0
,13,0,11,0,0,88,79,105,0,0,0,16,0,0,135,120,105,0,0
,14,0,11,0,0,90,80,105,0,0,0,16,0,0,136,122,105,0,0
,15,0,11,0,0,91,82,105,0,0,0,18,0,0,153,137,105,0,0
,16,0,11,0,0,93,83,105,0,0,0,18,0,0,155,138,105,0,0
,17,0,11,0,0,94,85,105,0,0,0,18,0,0,156,140,105,0,0
,18,0,11,0,0,96,86,105,0,0,0,18,0,0,158,141,105,0,0
,19,0,12,0,0,97,87,105,0,0,0,18,0,0,159,142,105,0,0
,2,0,9,0,0,71,64,105,0,0,0,11,0,0,94,85,105,0,0
,20,0,12,0,0,99,89,105,0,0,0,20,0,0,177,158,105,0,0
,3,0,9,0,0,73,65,105,0,0,0,11,0,0,96,86,105,0,0
,4,0,9,0,0,74,67,105,0,0,0,12,0,0,97,87,105,0,0
,5,0,9,0,0,76,68,105,0,0,0,13,0,0,107,96,105,0,0
,6,0,9,0,0,77,69,105,0,0,0,13,0,0,108,97,105,0,0
,7,0,10,0,0,79,71,105,0,0,0,13,0,0,110,98,105,0,0
,8,0,10,0,0,80,72,105,0,0,0,13,0,0,111,100,105,0,0
,9,0,10,0,0,82,74,105,0,0,0,13,0,0,113,101,105,0,0
