Survival Vest (IX),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,0,0,0,38,31,100,0,0,0,0,0,0,62,56,100,0,0
,10,0,0,0,0,52,46,100,0,0,0,0,0,0,99,96,100,0,0
,11,0,0,0,0,54,48,100,0,0,0,0,0,0,100,98,100,0,0
,12,0,0,0,0,55,50,100,0,0,0,0,0,0,102,100,100,0,0
,13,0,0,0,0,57,51,100,0,0,0,0,0,0,103,101,100,0,0
,14,0,0,0,0,59,53,100,0,0,0,0,0,0,105,103,100,0,0
,15,0,0,0,0,60,55,100,0,0,0,0,0,0,122,121,100,0,0
,16,0,0,0,0,62,56,100,0,0,0,0,0,0,123,123,100,0,0
,17,0,0,0,0,63,58,100,0,0,0,0,0,0,125,125,100,0,0
,18,0,0,0,0,65,60,100,0,0,0,0,0,0,126,126,100,0,0
,19,0,0,0,0,66,61,100,0,0,0,0,0,0,128,128,100,0,0
,2,0,0,0,0,40,33,100,0,0,0,0,0,0,63,58,100,0,0
,20,0,0,0,0,68,63,100,0,0,0,0,0,0,145,146,100,0,0
,3,0,0,0,0,42,35,100,0,0,0,0,0,0,65,60,100,0,0
,4,0,0,0,0,43,36,100,0,0,0,0,0,0,66,61,100,0,0
,5,0,0,0,0,45,38,100,0,0,0,0,0,0,75,71,100,0,0
,6,0,0,0,0,46,40,100,0,0,0,0,0,0,77,73,100,0,0
,7,0,0,0,0,48,41,100,0,0,0,0,0,0,79,75,100,0,0
,8,0,0,0,0,49,43,100,0,0,0,0,0,0,80,76,100,0,0
,9,0,0,0,0,51,45,100,0,0,0,0,0,0,82,78,100,0,0
