Adamant Vest (IX),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,0,0,0,71,68,100,0,0,0,0,0,0,95,92,100,0,0
,10,0,0,0,0,86,83,100,0,0,0,0,0,0,133,130,100,0,0
,11,0,0,0,0,87,84,100,0,0,0,0,0,0,135,132,100,0,0
,12,0,0,0,0,89,86,100,0,0,0,0,0,0,137,134,100,0,0
,13,0,0,0,0,91,88,100,0,0,0,0,0,0,138,135,100,0,0
,14,0,0,0,0,92,89,100,0,0,0,0,0,0,140,137,100,0,0
,15,0,0,0,0,94,91,100,0,0,0,0,0,0,157,154,100,0,0
,16,0,0,0,0,95,92,100,0,0,0,0,0,0,159,156,100,0,0
,17,0,0,0,0,97,94,100,0,0,0,0,0,0,160,157,100,0,0
,18,0,0,0,0,98,95,100,0,0,0,0,0,0,162,159,100,0,0
,19,0,0,0,0,100,97,100,0,0,0,0,0,0,163,160,100,0,0
,2,0,0,0,0,73,70,100,0,0,0,0,0,0,97,94,100,0,0
,20,0,0,0,0,102,99,100,0,0,0,0,0,0,181,178,100,0,0
,3,0,0,0,0,75,72,100,0,0,0,0,0,0,98,95,100,0,0
,4,0,0,0,0,76,73,100,0,0,0,0,0,0,100,97,100,0,0
,5,0,0,0,0,78,75,100,0,0,0,0,0,0,110,107,100,0,0
,6,0,0,0,0,79,76,100,0,0,0,0,0,0,111,108,100,0,0
,7,0,0,0,0,81,78,100,0,0,0,0,0,0,113,110,100,0,0
,8,0,0,0,0,83,80,100,0,0,0,0,0,0,114,111,100,0,0
,9,0,0,0,0,84,81,100,0,0,0,0,0,0,116,113,100,0,0
