Crystal Armor (V),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,0,0,0,52,22,102,0,0,0,0,0,0,83,35,102,0,0
,10,0,0,0,0,71,30,102,0,0,0,0,0,0,132,55,102,0,0
,11,0,0,0,0,73,31,102,0,0,0,0,0,0,134,56,102,0,0
,12,0,0,0,0,75,32,102,0,0,0,0,0,0,136,57,102,0,0
,13,0,0,0,0,77,32,102,0,0,0,0,0,0,138,57,102,0,0
,14,0,0,0,0,79,33,102,0,0,0,0,0,0,140,58,102,0,0
,15,0,0,0,0,81,34,102,0,0,0,0,0,0,163,67,102,0,0
,2,0,0,0,0,55,23,102,0,0,0,0,0,0,85,36,102,0,0
,20,0,0,0,0,91,38,102,0,0,0,0,0,0,193,80,102,0,0
,3,0,0,0,0,57,24,102,0,0,0,0,0,0,87,37,102,0,0
,4,0,0,0,0,59,25,102,0,0,0,0,0,0,89,37,102,0,0
,5,0,0,0,0,61,26,102,0,0,0,0,0,0,101,42,102,0,0
,6,0,0,0,0,63,27,102,0,0,0,0,0,0,104,43,102,0,0
,7,0,0,0,0,65,27,102,0,0,0,0,0,0,106,44,102,0,0
,8,0,0,0,0,67,28,102,0,0,0,0,0,0,108,45,102,0,0
,9,0,0,0,0,69,29,102,0,0,0,0,0,0,110,46,102,0,0
