Knight's Armor (I),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,0,0,0,53,18,102,0,0,0,0,0,0,82,30,102,0,0
,10,0,0,0,0,71,26,102,0,0,0,0,0,0,128,49,102,0,0
,11,0,0,0,0,73,26,102,0,0,0,0,0,0,130,50,102,0,0
,12,0,0,0,0,75,27,102,0,0,0,0,0,0,132,51,102,0,0
,13,0,0,0,0,76,28,102,0,0,0,0,0,0,134,52,102,0,0
,14,0,0,0,0,78,29,102,0,0,0,0,0,0,136,53,102,0,0
,15,0,0,0,0,80,30,102,0,0,0,0,0,0,157,61,102,0,0
,2,0,0,0,0,55,19,102,0,0,0,0,0,0,84,31,102,0,0
,20,0,0,0,0,90,34,102,0,0,0,0,0,0,186,73,102,0,0
,21,0,0,0,0,92,34,102,0,0,0,0,0,0,188,74,102,0,0
,22,0,0,0,0,94,35,102,0,0,0,0,0,0,190,75,102,0,0
,23,0,0,0,0,96,36,102,0,0,0,0,0,0,191,75,102,0,0
,24,0,0,0,0,98,37,102,0,0,0,0,0,0,193,76,102,0,0
,25,0,0,0,0,99,37,102,0,0,0,0,0,0,214,85,102,0,0
,3,0,0,0,0,57,20,102,0,0,0,0,0,0,86,32,102,0,0
,4,0,0,0,0,59,21,102,0,0,0,0,0,0,88,33,102,0,0
,5,0,0,0,0,61,22,102,0,0,0,0,0,0,99,37,102,0,0
,6,0,0,0,0,63,22,102,0,0,0,0,0,0,101,38,102,0,0
,7,0,0,0,0,65,23,102,0,0,0,0,0,0,103,39,102,0,0
,8,0,0,0,0,67,24,102,0,0,0,0,0,0,105,40,102,0,0
,9,0,0,0,0,69,25,102,0,0,0,0,0,0,107,41,102,0,0
