Black Robe (IV),level,hp,atk,matk,acc,def,mdef,eva,mnd,spd,series_hp,series_atk,series_matk,series_acc,series_def,series_mdef,series_eva,series_mnd,series_spd
,1,0,0,5,0,30,50,102,0,0,0,0,5,0,47,79,102,0,0
,10,0,0,5,0,40,68,102,0,0,0,0,5,0,73,125,102,0,0
,11,0,0,5,0,41,70,102,0,0,0,0,5,0,74,127,102,0,0
,12,0,0,5,0,42,72,102,0,0,0,0,5,0,75,129,102,0,0
,13,0,0,5,0,43,73,102,0,0,0,0,5,0,76,131,102,0,0
,14,0,0,5,0,45,75,102,0,0,0,0,5,0,77,133,102,0,0
,15,0,0,5,0,46,77,102,0,0,0,0,5,0,89,154,102,0,0
,2,0,0,5,0,32,52,102,0,0,0,0,5,0,48,81,102,0,0
,25,0,0,5,0,56,96,102,0,0,0,0,5,0,121,211,102,0,0
,3,0,0,5,0,33,54,102,0,0,0,0,5,0,49,83,102,0,0
,4,0,0,5,0,34,56,102,0,0,0,0,5,0,50,85,102,0,0
,5,0,0,5,0,35,58,102,0,0,0,0,5,0,56,96,102,0,0
,6,0,0,5,0,36,60,102,0,0,0,0,5,0,58,98,102,0,0
,7,0,0,5,0,37,62,102,0,0,0,0,5,0,59,100,102,0,0
,8,0,0,5,0,38,64,102,0,0,0,0,5,0,60,102,102,0,0
,9,0,0,5,0,39,66,102,0,0,0,0,5,0,61,104,102,0,0
